,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
"NA","NA","home",0.38,0.39,0.4,0.41,0.42,0.42
382,152,"omar-gonzalez",0.26,0.19,0.14,0.1,0.07,0.04
72,216,"justin-mapp",0.33,0.23,0.15,0.09,0.06,0.03
144,167,"jamison-olave",0.28,0.2,0.13,0.08,0.05,0.03
267,143,"brek-shea",0.31,0.21,0.13,0.08,0.05,0.03
177,80,"mike-magee",0.24,0.18,0.12,0.08,0.05,0.03
92,344,"todd-dunivant",0.11,0.11,0.1,0.08,0.06,0.04
140,75,"brad-davis",0.29,0.2,0.12,0.08,0.05,0.03
88,163,"eddie-gaven",0.25,0.17,0.11,0.08,0.05,0.03
365,64,"fredy-montero",0.26,0.18,0.12,0.07,0.05,0.03
117,253,"atiba-harris",0.19,0.14,0.1,0.07,0.04,0.03
335,184,"will-johnson",0.16,0.13,0.1,0.07,0.05,0.03
75,358,"chris-rolfe",0.3,0.18,0.11,0.07,0.04,0.02
289,114,"eric-avila",0.3,0.2,0.12,0.07,0.04,0.02
364,197,"zach-scott",0.28,0.18,0.11,0.07,0.04,0.02
98,431,"marvell-wynne",0.35,0.21,0.12,0.06,0.03,0.02
84,136,"adam-moffat",0.19,0.14,0.1,0.06,0.04,0.02
188,100,"landon-donovan",0.19,0.13,0.09,0.06,0.04,0.03
11,380,"steve-ralston",0.32,0.2,0.11,0.06,0.03,0.02
222,224,"ugo-ihemelu",0.16,0.12,0.09,0.06,0.04,0.02
519,55,"alvaro-saborio",0.22,0.15,0.1,0.06,0.04,0.02
467,235,"jamie-smith",0.23,0.16,0.1,0.06,0.03,0.02
85,886,"danny-orourke",0.21,0.14,0.09,0.06,0.04,0.02
218,180,"andy-williams",0.21,0.14,0.09,0.06,0.04,0.02
360,176,"osvaldo-alonso",0.11,0.1,0.08,0.06,0.04,0.02
506,755,"roy-miller",0.22,0.14,0.09,0.05,0.03,0.02
532,153,"vitor-junior",0.15,0.1,0.07,0.05,0.04,0.02
466,869,"andre-luiz-moreira",0.28,0.17,0.1,0.05,0.03,0.01
70,54,"chad-barrett",0.16,0.12,0.08,0.05,0.03,0.02
213,113,"jeff-cunningham",0.17,0.12,0.08,0.05,0.03,0.02
61,68,"fabian-espindola",0.17,0.12,0.08,0.05,0.03,0.02
380,349,"adolph-joseph-delagarza",0.03,0.05,0.06,0.05,0.04,0.03
361,89,"kasey-keller",0.09,0.08,0.06,0.05,0.03,0.02
67,356,"cuauhtemoc-blanco",0.16,0.11,0.07,0.05,0.03,0.02
419,355,"gregg-berhalter",0.12,0.09,0.07,0.05,0.03,0.02
65,410,"gonzalo-segares",0.11,0.09,0.07,0.05,0.03,0.02
315,391,"alecko-eskandarian",0.23,0.14,0.08,0.05,0.03,0.01
484,208,"heath-pearce",0.05,0.06,0.06,0.05,0.03,0.02
304,364,"nate-jaqua",0.15,0.11,0.07,0.04,0.03,0.02
224,157,"omar-cummings",0.18,0.12,0.07,0.04,0.03,0.01
187,232,"brandon-mcdonald",0.21,0.14,0.08,0.04,0.02,0.01
719,731,"james-marcelin",0.31,0.17,0.09,0.04,0.02,0.01
481,116,"daniel-hernandez",0.04,0.05,0.05,0.04,0.03,0.02
369,173,"roger-levesque",0.18,0.12,0.07,0.04,0.02,0.01
671,111,"mauro-rosales",0.21,0.12,0.07,0.04,0.02,0.01
669,701,"teemu-tainio",0.22,0.13,0.07,0.04,0.02,0.01
558,352,"steven-beitashour",0.22,0.14,0.08,0.04,0.02,0.01
264,188,"steven-lenhart",0.14,0.09,0.06,0.04,0.03,0.02
411,194,"george-john",0.09,0.07,0.05,0.04,0.03,0.02
83,321,"brian-carroll",-0.03,0.02,0.04,0.04,0.03,0.02
175,45,"kei-kamara",0.1,0.08,0.06,0.04,0.03,0.02
223,166,"kosuke-kimura",0.14,0.1,0.06,0.04,0.02,0.01
130,50,"dominic-oduro",0.17,0.11,0.07,0.04,0.02,0.01
508,67,"joel-lindpere",0.07,0.07,0.05,0.04,0.02,0.01
685,65,"omar-bravo",0.17,0.11,0.06,0.04,0.02,0.01
796,691,"luis-enrique",0.16,0.11,0.07,0.04,0.02,0.01
114,462,"jesse-marsch",0.19,0.12,0.07,0.04,0.02,0.01
195,354,"bouna-coundoul",0.06,0.06,0.05,0.04,0.02,0.01
534,673,"seth-sinovic",0.24,0.14,0.07,0.04,0.02,0.01
507,301,"tim-ream",0.08,0.07,0.05,0.04,0.02,0.01
404,257,"matt-besler",0.15,0.1,0.06,0.04,0.02,0.01
42,366,"luciano-emilio",0.16,0.11,0.07,0.04,0.02,0.01
199,165,"pablo-mastroeni",0.08,0.07,0.05,0.03,0.02,0.01
87,280,"will-hesmer",0.06,0.05,0.04,0.03,0.03,0.02
71,477,"bakary-soumare",-0.01,0.03,0.04,0.03,0.03,0.02
146,455,"tony-beltran",0.07,0.06,0.04,0.03,0.02,0.02
64,679,"nick-rimando",-0.01,0.02,0.03,0.03,0.03,0.02
26,288,"kheli-dube",0.14,0.1,0.06,0.03,0.01,0.01
185,973,"abel-xavier",0.22,0.12,0.06,0.03,0.02,0.01
605,291,"blaise-nkufo",0.17,0.1,0.06,0.03,0.02,0.01
80,86,"calen-carr",0.1,0.08,0.05,0.03,0.02,0.01
384,140,"chris-pontius",0.19,0.12,0.07,0.03,0.01,0
376,359,"eduardo-lillingston",0.19,0.11,0.06,0.03,0.02,0.01
