1	Matt McKeon (M)	Kansas City Wiz
2	Eddie Pope (D)	D.C. United
3	Brandon Pollard (D)	Dallas Burn
4	Adam Frye (D)	Tampa Bay Mutiny
5	Chris Snitko (GK)	Kansas City Wiz
6	Paul Keegan (F)	New England Revolution
7	Guillermo Jara (F)	Los Angeles Galaxy
8	Jeff Cassar (GK)	Dallas Burn
9	Mike Gentile (M)	Colorado Rapids
10	Mac Cozier (F)	Columbus Crew
11	Scott Lamphear (D)	New York/New Jersey MetroStars
12	Miles Joseph (F)	New York/New Jersey MetroStars
13	Derrick Brownell (F)	San Jose Clash
14	Casey Sweeney (M)	Tampa Bay Mutiny
15	Diego Gutierrez (M)	Kansas City Wiz
16	Imad Baba (M)	New England Revolution
17	Greg Vanney (M)	Los Angeles Galaxy
18	Steve Ralston (M)	Tampa Bay Mutiny
19	Paul Grafer (GK)	Colorado Rapids
20	Ricci Greenwood (F)	Columbus Crew
21	Jesse Marsch (M)	D.C. United
22	Hamisi Amani-Dove (F)	New York/New Jersey MetroStars
23	Eddie Lewis (F)	San Jose Clash
24	Nate Daligcon (D)	Tampa Bay Mutiny
25	Dion Sebwe (D)	Kansas City Wiz
26	Paulo Dos Santos (M)	New England Revolution
27	Ante Razov (F)	Los Angeles Galaxy
28	Brandon Cavitt (M)	Dallas Burn
29	PASS	Colorado Rapids
