1	Alecko Eskandarian (F)	D.C. United
2	Ricardo Clark (M)	MetroStars
3	Nate Jaqua (F)	Chicago Fire
4	Mike Magee (F)	MetroStars
5	David Stokes (D)	D.C. United
6	Todd Dunivant (D)	San Jose Earthquakes
7	Diego Walsh (M)	Columbus Crew
8	Guillermo Gonzalez (M)	Los Angeles Galaxy
9	Pat Noonan (F)	New England Revolution
10	Shavar Thomas (D)	Dallas Burn
11	Brian Carroll (M)	D.C. United
12	Eddie Gaven (M)	MetroStars
13	Arturo Alvarez (M)	San Jose Earthquakes
14	Doug Warren (GK)	D.C. United
15	Jason Thompson (F)	Dallas Burn
16	Scot Thompson (D)	Los Angeles Galaxy
17	Tim Regan (D)	MetroStars
18	Damani Ralph (F)	Chicago Fire
19	Arturo Torres (M)	Los Angeles Galaxy
20	Ricky Lewis (D)	Los Angeles Galaxy
21	David Comfort (GK)	Dallas Burn
22	Dimelon Westfield (F)	New England Revolution
23	Roger Levesque (F)	San Jose Earthquakes
24	Logan Pause (M)	Chicago Fire
25	Ryan Mack (M)	Chicago Fire
26	Phil Swenda (F)	Chicago Fire
27	Jason Cole (D)	Colorado Rapids
28	Alex Blake (F)	Colorado Rapids
29	Kyle Singer (GK)	New England Revolution
30	Tim Glowienka (D)	MetroStars
31	Hayden Woodworth (M)	D.C. United
32	Kenny Arena (D)	MetroStars
33	Taylor Graham (D)	Kansas City Wizards
34	Mike Tranchilla (F)	Dallas Burn
35	Rob Friend (F)	Chicago Fire
36	Josh Saunders (GK)	San Jose Earthquakes
37	Michael Ritch (F)	Columbus Crew
38	Matt Crawford (M)	Colorado Rapids
39	Jamil Walker (M)	San Jose Earthquakes
40	Hamid Mehreioskouei (F)	Los Angeles Galaxy
41	John Swann (D)	D.C. United
42	Jacob LeBlanc (M)	MetroStars
43	Jack Jewsbury (M)	Kansas City Wizards
44	Chad Dombrowski (D)	Chicago Fire
45	Michael Mariscalco (M)	Dallas Burn
46	Johanes Maliza (M)	San Jose Earthquakes
47	Guy Abrahamson (M)	Columbus Crew
48	Casey Schmidt (F)	Colorado Rapids
49	Marco Velez (M)	MetroStars
50	Jimmy Frazelle (M)	Los Angeles Galaxy
51	Michael Behonick (GK)	D.C. United
52	Andy Rosenband (F)	Dallas Burn
53	Kevin Friedland (D)	Kansas City Wizards
54	Ryan Futagaki (M)	Chicago Fire
55	Joe Barton (GK)	Los Angeles Galaxy
56	Frank Sanfilipo (M)	San Jose Earthquakes
57	PASS	New England Revolution
58	Jake Traeger (M)	Columbus Crew
59	PASS	D.C. United
60	Byron Carmichael (F)	Kansas City Wizards
