1	Jason Moore (M)	D.C. United
2	Jay Heaps (M)	Miami Fusion
3	Richard Mulrooney (F)	San Jose Clash
4	Lazo Alavanja (M)	Dallas Burn
5	Chris Brown (F)	Kansas City Wizards
6	Bobby Rhine (F)	Dallas Burn
7	John Wolyniec (F)	MetroStars
8	Andrew Mittendorf (F)	Colorado Rapids
9	Matt Chulis (D)	Columbus Crew
10	Tony Soto (D)	Los Angeles Galaxy
11	Evan Whitfield (D)	Chicago Fire
12	Paul Broome (M)	Dallas Burn
13	Seth George (F)	Los Angeles Galaxy
14	John Wilson (D)	Kansas City Wizards
15	Wojtek Krakowiak (F)	San Jose Clash
16	Kevin Knight (M)	MetroStars
17	Keith Beach (M)	D.C. United
18	Jeff Bilyk (M)	Columbus Crew
19	Jeremy Aldrich (D)	Miami Fusion
20	Tom Poltl (M)	Colorado Rapids
21	Jamie Clark (D)	San Jose Clash
22	Sam Franklin (M)	Los Angeles Galaxy
23	Greg Sutton (GK)	Chicago Fire
24	Darren Warham (D)	Dallas Burn
25	Leighton O'Brien (M)	New England Revolution
26	Kevin Kalish (D)	Kansas City Wizards
27	Todd Duncan (D)	San Jose Clash
28	David Hayes (F)	D.C. United
29	Jim Manganello (M)	MetroStars
30	Andrew Parrish (D)	Dallas Burn
31	Eric Kvello (F)	MetroStars
32	Bobby Meyer (D)	Colorado Rapids
33	Randy Merkel (D)	Columbus Crew
34	PASS	Los Angeles Galaxy
35	Aaron Lewis (M)	Dallas Burn
36	Stefani Miglioranzi (M)	Chicago Fire
