1	Steve Zakuani	Seattle Sounders FC
2	Sam Cronin	Toronto FC [2]
3	Omar Gonzalez	Los Angeles Galaxy
4	O'Brian White	Toronto FC
5	Perica Marošević	FC Dallas
6	Rodney Wallace	D.C. United [3]
7	Chris Pontius	D.C. United
8	Matt Besler	Kansas City Wizards
9	Michael Lahoud	Chivas USA
10	Kevin Alston	New England Revolution
11	Jeremy Hall	New York Red Bulls [4]
12	Jean Alexandre	Real Salt Lake
13	Stefan Frei	Toronto FC [5]
14	George John	FC Dallas [6]
15	Ryan Maxwell	New England Revolution[7]
16	Evan Brown	Seattle Sounders FC
17	Brad Ring	San Jose Earthquakes
18	Babajide Ogunbiyi	New York Red Bulls [4]
19	A. J. DeLaGarza	Los Angeles Galaxy
20	Baggio Husidić	Chicago Fire
21	Miloš Kočić	D.C. United
22	Doug DeMartin	Kansas City Wizards
23	Graham Zusi	Kansas City Wizards
24	Andrei Gotsmanov	New England Revolution
25	Denaldin Hamzagić	New England Revolution
26	Lyle Adams	D.C. United
27	Brian Shriver	FC Dallas
28	Kwame Adjeman-Pamboe	Colorado Rapids
29	Jack Traynor	New York Red Bulls
30	Paul Gerstenberger	Columbus Crew
31	Jared Karkas	Seattle Sounders FC
32	Quincy Amarikwa	San Jose Earthquakes
33	Joshua Boateng	Los Angeles Galaxy
34	Mike Grella	Toronto FC
35	Kyle Christensen	Chivas USA
36	Brandon Barklage	D.C. United
37	Steward Ceus	Colorado Rapids
38	Chris Salvaggione	New England Revolution
39	Kyle Hall	Toronto FC
40	Darrius Barnes	New England Revolution
41	Danny Cruz	Houston Dynamo
42	Neal Kitson	Kansas City Wizards
43	David Sias	Chicago Fire
44	Nick Zimmerman	New York Red Bulls
45	Alex Grendi	Columbus Crew
46	Michael Fucito	Seattle Sounders FC
47	Ross Schunk	Colorado Rapids
48	Kyle Patterson	Los Angeles Galaxy
49	Jamie Franks	Chivas USA
50	Akeem Priestley	Kansas City Wizards
51	Jordan Seabrook	Colorado Rapids
52	Jokull Elisabetarson	Chicago Fire
53	Henry Kalungi	Colorado Rapids
54	Raphael Cox	Real Salt Lake
55	Tyrel Lacey	New England Revolution
56	Marcus Tracy	Houston Dynamo
57	Mfana Futhi Bhembe	Real Salt Lake
58	Richard Jata	Chicago Fire
59	Michael Holody	Colorado Rapids
60	Chris Clements	Columbus Crew
