1	Danny Pena (D)	Los Angeles Galaxy
2	Wade Webber (D)	Dallas Burn
3	Bill Harte (D)	New England Revolution
4	Dan Stebbins (F)	Dallas Burn
5	Ezra Hendrickson (D)	New York/New Jersey MetroStars
6	Marco Ferruzzi (M)	Tampa Bay Mutiny
7	Ryan Tinsley (M)	Kansas City Wizards
8	Carlos Llamosa (D)	D.C. United
9	Bryan Taylor (F)	Los Angeles Galaxy
10	David Moxom (D)	Tampa Bay Mutiny
11	Billy Baumhoff (M)	Colorado Rapids
12	Patrick Olalere (F)	New England Revolution
13	Jason Farrell (M)	Columbus Crew
14	Gerson Echeverry (F)	D.C. United
15	Braeden Cloutier (F)	New York/New Jersey MetroStars
16	Curt Onalfo (D)	San Jose Clash
17	Ricci Greenwood (F)	Kansas City Wizards
18	Paulo Dos Santos (M)	Tampa Bay Mutiny
19	John Jones (F)	Los Angeles Galaxy
20	Joey Martinez (D)	Dallas Burn
21	Kerry Zavagnin (M)	Colorado Rapids
22	Sam George (M)	New England Revolution
23	Michael Britton (D)	Colorado Rapids
24	Edmundo Rodriguez (F)	San Jose Clash
25	Dave Stewart (F)	New York/New Jersey MetroStars
26	Eric Stempinski (F)	Dallas Burn
27	Mike Heald (M)	Tampa Bay Mutiny
28	Billy Clifford (D)	Columbus Crew
29	Travis Rinker (D)	Los Angeles Galaxy
30	Joey Thieman (M)	D.C. United
