BlockSource: http://www.overlappingrun.com/DispGames.php

1;04/06/1996;San Jose Earthquakes;1;DC United;0;31683
2;04/13/1996;Tampa Bay Mutiny;3;New England Revolution;2;26473
3;04/13/1996;Columbus Crew;4;DC United;0;25266
4;04/13/1996;Kansas City Wizards;3;Colorado Rapids;0;21141
5;04/13/1996;Los Angeles Galaxy;2;NY MetroStars;1;69255
6;04/14/1996;FC Dallas;1;San Jose Earthquakes;0;27779
7;04/18/1996;FC Dallas;3;Kansas City Wizards;0;9405
8;04/20/1996;NY MetroStars;0;New England Revolution;1;46826
9;04/20/1996;DC United;1;Los Angeles Galaxy;2;35032
10;04/20/1996;Columbus Crew;1;Tampa Bay Mutiny;2;24434
11;04/21/1996;Colorado Rapids;3;FC Dallas;1;21711
12;04/21/1996;San Jose Earthquakes;2;Kansas City Wizards;3;17580
13;04/27/1996;NY MetroStars;0;Columbus Crew;2;26416
14;04/27/1996;New England Revolution;2;DC United;1;32864
15;04/28/1996;Tampa Bay Mutiny;1;FC Dallas;2;14084
16;04/28/1996;Los Angeles Galaxy;2;San Jose Earthquakes;1;40347
17;05/01/1996;DC United;3;FC Dallas;1;11253
18;05/02/1996;Kansas City Wizards;6;Columbus Crew;4;8848
19;05/04/1996;NY MetroStars;4;Tampa Bay Mutiny;3;38621
20;05/04/1996;New England Revolution;1;San Jose Earthquakes;2;16334
21;05/05/1996;FC Dallas;1;Columbus Crew;0;35250
22;05/05/1996;Colorado Rapids;4;Kansas City Wizards;0;11070
23;05/05/1996;Los Angeles Galaxy;3;DC United;1;20471
24;05/08/1996;Tampa Bay Mutiny;2;Kansas City Wizards;0;7025
25;05/08/1996;San Jose Earthquakes;3;Colorado Rapids;1;12972
26;05/11/1996;Columbus Crew;3;New England Revolution;2;24750
27;05/11/1996;Kansas City Wizards;2;FC Dallas;3;17706
28;05/11/1996;Colorado Rapids;1;Tampa Bay Mutiny;2;9171
29;05/12/1996;DC United;1;NY MetroStars;2;14722
30;05/12/1996;San Jose Earthquakes;1;Los Angeles Galaxy;2;31728
31;05/15/1996;DC United;5;Columbus Crew;2;7422
32;05/16/1996;NY MetroStars;3;Colorado Rapids;0;14121
33;05/18/1996;Tampa Bay Mutiny;3;San Jose Earthquakes;2;12047
34;05/18/1996;FC Dallas;3;DC United;2;23251
35;05/19/1996;New England Revolution;2;NY MetroStars;0;20131
