Competition: USL Premier Developmental League   
Season: 2008

Date: 4/26/2008
2200; San Francisco Seals; 3-2; Fresno Fuego; Chukchansi Park

Date: 5/2/2008
2230; Bakersfield Brigade; 0-0; Ventura County Fusion; Buena High School
2230; San Francisco Seals; 0-0; San Jose Frogs; Lick High School

Date: 5/3/2008
1700; Panama City Pirates; 1-2; Central Florida Kraze; Seminole Soccer Complex
1800; New Orleans Jesters; 0-3; Houston Leones; Soccer World Center
1930; Long Island Rough Riders; 1-1; New Hampshire Phantoms; Manchester Memorial HS
2000; Los Angeles Legends; 1-0; Orange County Blue Star; Concordia University
2130; Austin Aztex U23s; 0-0; El Paso Patriots; Patriot Stadium
2200; Bakersfield Brigade; 2-2; Lancaster Rattlers; Pete Knight High School
2200; Yakima Reds; 3-0; Spokane Spiders; Spokane Falls CC

Date: 5/4/2008
1400; Panama City Pirates; 0-3; Central Florida Kraze; Seminole Soccer Complex
2000; Southern California Seahorses; 1-3; San Fernando Valley Quakes; Calabasas High School

Date: 5/9/2008
1700; Cary Clarets; 3-3; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium
1900; Newark Ironbound Express; 4-1; New Jersey Rangers; Morris Catholic High School
2000; Westchester Flames; 0-1; Brooklyn Knights; Aviator Field
2000; Laredo Heat; 0-0; Mississippi Brilla; M & F Bank Stadium Freedom Ridge Park
2200; Tacoma Tide; 2-5; Spokane Spiders; Greyhound Park
2200; San Francisco Seals; 1-0; Lancaster Rattlers; Pete Knight High School
2205; Cascade Surge; 1-1; Yakima Reds; Marquette Stadium

Date: 5/10/2008
1500; St. Louis Lions; 2-1; Des Moines Menace; Valley Stadium
1900; Bradenton Academics; 1-1; Panama City Pirates; Gavlak Stadium
1900; New Hampshire Phantoms; 2-1; Cape Cod Crusaders; Mass Maritime Academy
1900; Rhode Island Stingrays; 2-2; Richmond Kickers Future; Sports Backers Stadium
1900; Northern Virginia Royals; 1-0; Hampton Roads Piranhas; Virginia Wesleyan College
1930; Central Florida Kraze; 2-0; Palm Beach Pumas; International Polo Club-Wellington
1930; Nashville Metros; 0-2; Carolina Dynamo; Macpherson Stadium
1930; Virginia Legacy; 1-5; Long Island Rough Riders; Tully Park
2000; El Paso Patriots; 0-2; Baton Rouge Capitals; Olympia Stadium
2030; Colorado Rapids U-23; 2-0; Springfield Demize; Cooper Sports Complex
2030; Houston Leones; 0-2; Austin Aztex U23s; Dragon Stadium - Round Rock
2200; Fresno Fuego; 2-1; Southern California Seahorses; La Mirada HS
2200; San Jose Frogs; 2-0; Lancaster Rattlers; Pete Knight High School
2230; Los Angeles Legends; 0-0; Bakersfield Brigade; Bakersfield Christian HS
2230; San Fernando Valley Quakes; 2-2; Ventura County Fusion; Buena High School

Date: 5/11/2008
1500; Nashville Metros; 2-0; Cary Clarets; WakeMed Soccer Park
1600; Cascade Surge; 0-4; Tacoma Tide; Curtis High School
1730; Virginia Legacy; 0-2; Westchester Flames; City Park Stadium
1800; Colorado Rapids U-23; 0-1; St. Louis Lions; Tony Glavin Complex
1800; Des Moines Menace; 1-0; Kansas City Brass; William Jewell College
1900; Laredo Heat; 1-0; Baton Rouge Capitals; Olympia Stadium
1900; El Paso Patriots; 2-2; New Orleans Jesters; Tad Gormley Stadium
1930; Newark Ironbound Express; 1-1; Ocean City Barons;  
2205; San Jose Frogs; 3-1; San Fernando Valley Quakes; Calabasas High School

Date: 5/13/2008
1930; Cincinnati Kings; 1-0; Indiana Invaders; Indiana Invaders Soccer Complex
2000; Long Island Rough Riders; 1-3; Brooklyn Knights; Aviator Field

Date: 5/14/2008
1900; West Michigan Edge; 3-1; Fort Wayne Fever; Hefner Stadium
1900; Ocean City Barons; 8-1; New Jersey Rangers; Morris Catholic High School
1930; Cary Clarets; 1-2; Carolina Dynamo; Macpherson Stadium
2000; Southern California Seahorses; 1-4; Orange County Blue Star; Concordia University
2000; Westchester Flames; 0-0; Newark Ironbound Express; NJIT Stadium

Date: 5/15/2008
1800; Northern Virginia Royals; 0-4; Fredericksburg Gunners; Fredericksburg Academy
1900; Atlanta Silverbacks U23's; 0-2; Central Florida Kraze; Seminole Soccer Complex
1900; Indiana Invaders; 0-1; Chicago Fire Premier; Toyota Park

Date: 5/16/2008
1900; Reading Rage; 0-1; Cape Cod Crusaders; Bridgewater-Raynham High School
1930; Cleveland Internationals; 3-0; Cincinnati Kings; Town & Country Sports Complex
2000; West Virginia Chaos; 0-0; Kalamazoo Outrage; Mayors Riverfront Park Mayors Riverfront
2100; Spokane Spiders; 0-3; Ogden Outlaws; Ogden High School
2115; DFW Tornados; 0-1; Laredo Heat; Texas A&M Intl Univ Soccer Complex
2130; Houston Leones; 0-2; El Paso Patriots; Patriot Stadium
2130; Cascade Surge; 1-5; BYU Cougars; South Stadium
2230; Lancaster Rattlers; 0-5; Los Angeles Legends; A.P.U. - Cougar Stadium

Date: 5/17/2008
1730; New Jersey Rangers; 0-1; Westchester Flames; City Park Stadium
1730; Carolina Dynamo; 2-4; Bradenton Academics; IMG Soccer Academy
1800; Baton Rouge Capitals; 1-2; Mississippi Brilla; Robert P. Longabaugh Stadium
1900; Vermont Voltage; 3-1; Northern Virginia Royals; Fairfax High School, Fairfax
1900; Atlanta Silverbacks U23's; 1-0; Panama City Pirates; Gavlak Stadium
