
	1	2005-04-02	H	Chicago	2-1	W	1-0-0	Mulrooney 1 (Ruiz 1, O'Brien 1) 2; Johnson 1 (Talley 1) 47	Scott Garlick, Philip Salyer, Clarence Goodson, Greg Vanney, David Wagenfuhr, Richard Mulrooney, Carey Talley, Simo Valakari, Eddie Johnson, Carlos Ruiz (Oscar Pareja 83), Ronnie O'Brien.
	2	2005-04-09	A	Colorado	0-0	D	1-0-1		Scott Garlick, Philip Salyer, Clarence Goodson, Greg Vanney, David Wagenfuhr, Richard Mulrooney, Oscar Pareja (Ramon Nunez 69), Carey Talley, Ronnie O'Brien, Eddie Johnson, Carlos Ruiz.
	3	2005-04-16	A	Chivas USA	3-1	W	2-0-1	O'Brien 1 (unassisted) 40; Ruiz 1 (penalty kick) 85; Johnson 2 (Ronnie O'Brien 2) 94+	Scott Garlick, Clarence Goodson, Greg Vanney, David Wagenfuhr, Richard Mulrooney, Carey Talley, Ronnie O'Brien, Simo Valakari, Eddie Johnson, Bobby Rhine, Carlos Ruiz (Oscar Pareja 89).
	4	2005-04-23	H	Real Salt Lake	3-0	W	3-0-1	Mulrooney 2 (unassisted) 4; Johnson 3 (Mulrooney 1, Ruiz 2) 35; Ruiz 2 (penalty kick) 63	Scott Garlick, Bobby Rhine, Clarence Goodson (Drew Moor 84), Greg Vanney, David Wagenfuhr, Richard Mulrooney, Simo Valakari (Ramon Nunez 68), Carey Talley (Ty Maurin 85), Eddie Johnson, Carlos Ruiz, Ronnie O'Brien.
	5	2005-04-30	A	Los Angeles	0-2	L	3-1-1		Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, David Wagenfuhr (Arturo Alvarez 83), Richard Mulrooney, Simo Valakari (Roberto Mina 76), Carey Talley (Oscar Pareja 59), Eddie Johnson, Carlos Ruiz, Ronnie O'Brien.
	6	2005-05-07	A	Kansas City	3-3	D	3-1-2	Johnson 4 (Rhine 1) 16; O'Brien 2 (Rhine 2; Mulrooney 2) 77; Ruiz 3 (O'Brien 3) 82	Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, David Wagenfuhr, Richard Mulrooney, Ronnie O'Brien, Simo Valakari, Carey Talley (Arturo Alvarez 68), Eddie Johnson, Carlos Ruiz.
	7	2005-05-14	A	San Jose	0-0	D	3-1-3		Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, David Wagenfuhr (Drew Moor 76), Richard Mulrooney (Oscar Pareja 34) (Arturo Alvarez 90), Simo Valakari, Carey Talley, Eddie Johnson, Carlos Ruiz, Ronnie O'Brien.
	8	2005-05-18	H	Colorado	2-1	W	4-1-3	O'Brien 3 (Nunez 1) 61; Ruiz 4 (Goodson 1, Johnson 1) 77	Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Ronnie O'Brien, Simo Valakari, Carey Talley (Aaron Pitchkolan 10), Eddie Johnson, Oscar Pareja (Ramon Nunez 60), Carlos Ruiz (Drew Moor 87).
	9	2005-05-22	A	Chivas USA	5-2	W	5-1-3	Pitchkolan 1 (Nunez 2, O'Brien 4) 1; Ruiz 5 (O'Brien 5) 48; O'Brien 4 (unassisted) 51; Johnson 5 (Pitchkolan 1) 69; Mina 1 (unassisted) 91+	Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Aaron Pitchkolan, Ronnie O'Brien (Arturo Alvarez 86), Ramon Nunez (Drew Moor 68), Simo Valakari, Eddie Johnson (Roberto Mina 75), Carlos Ruiz.
	10	2005-05-28	A	DC United	2-0	W	6-1-3	Ruiz 6 (Mina 1) 49; Ruiz 7 (penalty kick) 56	Scott Garlick, Clarence Goodson, Bobby Rhine, Chris Gbandi, Steve Jolley, Ronnie O'Brien, Arturo Alvarez (David Wagenfuhr 73), Simo Valakari, Aaron Pitchkolan, Roberto Mina (Drew Moor 64), Carlos Ruiz (Abe Thompson 83).
	11	2005-06-04	A	Real Salt Lake	2-0	W	7-1-3	O'Brien 5 (unassisted) 22; Thompson 1 (unassisted) 58	Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi, Roberto Mina (Ty Maurin 83), Ronnie O'Brien (Steve Jolley 89), Aaron Pitchkolan, Simo Valakari, Arturo Alvarez, Abe Thompson (Drew Moor 72).
	12	2005-06-12	A	Chicago	0-2	L	7-2-3		Scott Garlick, Bobby Rhine, Clarence Goodson, Greg Vanney, Chris Gbandi (Ty Maurin 85), Ronnie O'Brien, Aaron Pitchkolan (Drew Moor 77), Simo Valakari, Arturo Alvarez, Roberto Mina, Carlos Ruiz (Abe Thompson 10).
	13	2005-06-18	H	Los Angeles	1-0	W	8-2-3	Mina 2 (unassisted) 32	Scott Garlick, Clarence Goodson, Greg Vanney, Chris Gbandi, Drew Moor, Aaron Pitchkolan, Simo Valakari, Ronnie O'Brien, Bobby Rhine (Carey Talley 88), Roberto Mina (Oscar Pareja 81), Arturo Alvarez (David Wagenfuhr 68).
	14	2005-06-22	H	Chivas USA	2-1	W	9-2-3	Mina 3 (Pareja 1, Rhine 3) 18; Thompson 2 (Wagenfuhr 1, Alvarez 1) 81	Scott Garlick, Drew Moor, Clarence Goodson, Greg Vanney, David Wagenfuhr, Aaron Pitchkolan, Simo Valakari, Oscar Pareja (Ramon Nunez 59), Roberto Mina (Abe Thompson 61), Arturo Alvarez, Bobby Rhine (Carey Talley 85).
