									
									



	1	2009-03-28	A	Seattle	0-2	L	0-1-0		Nick Rimando, Chris Wingert, Nat Borchers, Jamison Olave, Tony Beltran (Raphael Cox 84), Clint Mathis (Jean Alexandre 89), Kyle Beckerman, Javier Morales, Will Johnson, Robbie Findley (Andy Williams 74), Yura Movsisyan.
	2	2009-04-02	H	Columbus	4-1	W	1-1-0	Findley 1 (unassisted) 2; Findley 2 (unassisted) 29; Findley 3 (Movsisyan 1, Mathis 1) 62; Beckerman 1 (Mathis 2) 67	Nick Rimando, Tony Beltran, Nat Borchers, Jamison Olave, Chris Wingert, Clint Mathis (Ned Grabavoy 75), Kyle Beckerman, Javier Morales (Jean Alexandre 85), Will Johnson, Robbie Findley (Andy Williams 70), Yura Movsisyan.
	3	2009-04-11	H	DC United	2-1	W	2-1-0	Olave 1 (Johnson 1, Findley 1) 40; Morales 1 (Findley 2, Beckerman 1) 80	Nick Rimando, Tony Beltran (Raphael Cox 59), Nat Borchers, Jamison Olave, Chris Wingert, Clint Mathis (Ned Grabavoy 74), Kyle Beckerman, Javier Morales, Will Johnson, Robbie Findley (Andy Williams 89), Yura Movsisyan.
	4	2009-04-18	A	New York	0-2	L	2-2-0		Nick Rimando, Chris Wingert, Nat Borchers, Robbie Russell, David Horst (Luis Miguel Escalada 65), Clint Mathis (Ned Grabavoy 82), Kyle Beckerman, Javier Morales, Will Johnson, Robbie Findley (Andy Williams 78), Yura Movsisyan.
	5	2009-04-25	H	New England	6-0	W	3-2-0	Olave 2 (Morales 1) 53; Mathis 1 (Morales 2) 55; Movsisyan 1 (Mathis 3) 70; Escalada 1 (Russell 1, Grabavoy 1) 81; Williams 1 (unassisted) 85; Findley 4 (Williams 1) 89	Nick Rimando, Robbie Russell, Nat Borchers, Jamison Olave, Chris Wingert, Will Johnson, Clint Mathis (Andy Williams 74), Kyle Beckerman, Javier Morales (Ned Grabavoy 68), Robbie Findley, Yura Movsisyan (Luis Miguel Escalada 72).

	6	2009-05-02	A	Colorado	0-2	L	3-3-0		Nick Rimando (Kyle Reynish 35), Robbie Russell, Nat Borchers, Jamison Olave (sent off 41), Chris Wingert, Clint Mathis (Tony Beltran 74), Kyle Beckerman, Javier Morales, Will Johnson, Robbie Findley, Yura Movsisyan (Ned Grabavoy 66),
	7	2009-05-06	H	Los Angeles	2-2	D	3-3-1	Findley 5 (Mathis 4) 34; Johnson 1 (penalty kick) 92+	Chris Seitz, Tony Beltran, Chris Wingert, Nat Borchers (David Horst 69), Robbie Russell, Andy Williams (Ned Grabavoy 77), Kyle Beckerman, Clint Mathis, Will Johnson, Robbie Findley, Yura Movsisyan (Fabian Espindola 56).
	8	2009-05-09	A	Chivas USA	0-1	L	3-4-1		Chris Seitz, Robbie Russell, Nat Borchers, Jamison Olave, Chris Wingert, Kyle Beckerman, Raphael Cox (Robbie Findley 67), Clint Mathis (Andy Williams 75), Javier Morales, Will Johnson, Yura Movsisyan (Fabian Espindola 75),
	9	2009-05-16	H	Kansas City	0-2	L	3-5-1		Chris Seitz, Robbie Russell, Nat Borchers, Jamison Olave, Chris Wingert (Andy Williams 76), Clint Mathis, Kyle Beckerman, Javier Morales, Will Johnson, Robbie Findley (Luis Miguel Escalada 76), Yura Movsisyan (Fabian Espindola 63).
