
	1	2010-03-27	A	Columbus	0-2	L	0-1-0		Stefan Frei, Jim Brennan, Nana Attakora, Ty Harden, Nick Garcia, Martin Saric (Amadou Sanyang 66), Julian de Guzman, Sam Cronin, Gabe Gala (Nick LaBrocca 52), Dwayne De Rosario, O'Brian White
	2	2010-04-10	A	New England	1-4	L	0-2-0	De Rosario 1 (Garcia 1) 28	Stefan Frei, Nick Garcia, Nana Attakora, Dan Gargan, Raivis Hscanovics (Chad Barrett 58), Martin Saric, Amadou Sanyang (Julian de Guzman 60), Joseph Nane, Dwayne De Rosario, Nick LaBrocca, O'Brian White (Fuad Ibrahim 75)
	3	2010-04-15	H	Philadelphia	2-1	W	1-2-0	De Rosario 2 (unassisted) 35; De Rosario 3 (penalty kick) 81	Stefan Frei, Maksim Usanov, Adrian Cann, Nana Attakora, Raivis Hscanovics (Chad Barrett 46), Martin Saric (O'Brian White 46), Julian de Guzman, Amadou Sanyang (Jacob Peterson 60), Dan Gargan, Nick LaBrocca, Dwayne De Rosario
	4	2010-04-18	A	Colorado	1-3	L	1-3-0	De Rosario 4 (penalty kick) 58	Stefan Frei, Maksim Usanov, Nana Attakora, Adrian Cann, Ty Harden, Sam Cronin, Julian de Guzman, Martin Saric (Dan Gargan 79), Nick LaBrocca (Jacob Peterson 60), Chad Barrett (O'Brian White 65), Dwayne De Rosario
	5	2010-04-25	H	Seattle	2-0	W	2-3-0	De Rosario 5 (unassisted) 58; White 1 (De Rosario 1, Gargan 1) 76	Stefan Frei, Maksim Usanov, Nana Attakora, Adrian Cann, Raivis Hscanovics, Nick LaBrocca (Sam Cronin 74), Martin Saric, Julian de Guzman, O'Brian White, Chad Barrett (Dan Gargan 62), Dwayne De Rosario (Gabe Gala 79)
	CAN	2010-04-28	H	Montreal	2-0	W		Harden 12; Barrett (De Rosario) 61	Stefan Frei, Dan Gargan, Adrian Cann, Nick Garcia (O'Brian White 39), Ty Harden (Raivis Hscanovics 18), Jacob Peterson (Nick LaBrocca 62), Julian de Guzman, Sam Cronin, Gabe Gala, Dwayne De Rosario, Chad Barrett
	6	2010-05-01	A	Real Salt Lake	1-2	L	2-4-0	De Rosario 6 (penalty kick) 88	Stefan Frei, Raivis Hscanovics (Dwayne De Rosario 46), Nana Attakora, Adrian Cann, Maksim Usanov, Dan Gargan, Amadou Sanyang (O'Brian White 46), Joseph Nane (Julian de Guzman 46), Martin Saric, Nick LaBrocca, Chad Barrett
	7	2010-05-08	H	Chicago	4-1	W	3-4-0	LaBrocca 1 (de Guzman 1) 24; White 2 (De Rosario 2) 47; Barrett 1 (White 1) 66; Barrett 2 (De Rosario 3) 69	Stefan Frei, Dan Gargan, Adrian Cann, Nana Attakora, Maksim Usanov, Nick LaBrocca, Julian de Guzman, Amadou Sanyang (Martin Saric 69), Jacob Peterson (O'Brian White 46), Chad Barrett, Dwayne De Rosario (Raivis Hscanovics 74).
	CAN	2010-05-12	A	Montreal	1-0	W		De Rosario 74	Stefan Frei, Maksim Usanov (Chad Barrett 46), Adrian Cann, Nana Attakora, Nick Garcia, Martin Saric, Julian de Guzman, Sam Cronin, Gabe Gala, Dwayne De Rosario (Amadou Sanyang 79), O'Brian White (Nick LaBrocca 52)
	8	2010-05-15	A	Los Angeles	0-0	D	3-4-1		Stefan Frei, Maksim Usanov (sent off 94+), Nana Attakora, Nick Garcia, Adrian Cann, Sam Cronin, Amadou Sanyang, Martin Saric, Nick LaBrocca (Jacob Peterson 63), Chad Barrett (Joseph Nane 78), Dwayne De Rosario (Gabe Gala 70).
	CAN	2010-05-19	A	Vancouver	0-0	D			Jon Conway, Maksim Usanov, Adrian Cann, Nana Attakora (Nick Garcia 46), Raivis Hscanovics, Dan Gargan, Nick LaBrocca, Amadou Sanyang, Gabe Gala (Martin Saric 62), Dwayne De Rosario, O'Brian White (Chad Barrett 53)
	9	2010-05-22	H	New England	1-0	W	4-4-1	Barrett 3 (Cronin 1) 53	Stefan Frei, Dan Gargan, Adrian Cann, Nick Garcia, Raivis Hscanovics, Sam Cronin (Nick LaBrocca 59), Amadou Sanyang, Martin Saric, Jacob Peterson (Gabe Gala 82), Chad Barrett, Fuad Ibrahim (O'Brian White 46)
	10	2010-05-29	A	San Jose	3-1	W	5-4-1	Barrett 4 (unassisted) 31; De Rosario 7 (Gargan 2) 66; De Rosario 8 (LaBrocca 1) 94+	Stefan Frei, Dan Gargan, Nana Attakora, Adrian Cann, Nick Garcia, Jacob Peterson, Nick LaBrocca, Martin Saric (Julian de Guzman 46), Amadou Sanyang, Chad Barrett (Sam Cronin 82), O'Brian White (Dwayne De Rosario 46)
	CAN	2010-06-02	H	Vancouver	0-0	D			Milos Kocic, Ty Harden, Joseph Nane (Maksim Usanov 6), Raivis Hscanovics, Doneil Henry, Martin Saric, Julian de Guzman (Nicholas Lindsay 46), Sam Cronin, Gabe Gala, Fuad Ibrahim, Allando Matheson (Dwayne De Rosario 66)
	11	2010-06-05	H	Kansas City	0-0	D	5-4-2		Stefan Frei, Nick Garcia (sent off 27), Adrian Cann, Nana Attakora, Dan Gargan, Nick LaBrocca, Julian de Guzman, Amadou Sanyang (Gabe Gala 46), Jacob Peterson (Ty Harden 46), Dwayne De Rosario, Chad Barrett (O'Brian White 64).
	12	2010-06-26	H	Los Angeles	0-0	D	5-4-3		Stefan Frei, Raivis Hscanovics, Nana Attakora, Adrian Cann, Dan Gargan, Jacob Peterson (Gabe Gala 71), Amadou Sanyang, Martin Saric (Julian de Guzman 59), Nick LaBrocca, Dwayne De Rosario, O'Brian White (Chad Barrett 46). 
	13	2010-07-01	H	Houston	1-1	D	5-4-4	Gargan 1 (Ibrahim 1) 84	Stefan Frei, Dan Gargan, Adrian Cann, Nick Garcia (Fuad Ibrahim 80), Nana Attakora, Nick LaBrocca (Gabe Gala 71), Amadou Sanyang (sent off 94+), Julian de Guzman (sent off 63), Jacob Peterson (O'Brian White 46), Chad Barrett, Dwayne De Rosario.
	14	2010-07-10	H	Colorado	1-0	W	6-4-4	Ibrahim 1 (Barrett 1) 61	Stefan Frei, Nana Attakora, Dan Gargan, Adrian Cann, Maksim Usanov, Dwayne De Rosario, Nick LaBrocca, Martin Saric (Maicon Santos 46), Fuad Ibrahim, Chad Barrett (Gabe Gala 69), O'Brian White (Nick Garcia 46)
	15	2010-07-17	A	Philadelphia	1-2	L	6-5-4	Barrett 5 (Gargan 3) 81	Stefan Frei, Dan Gargan (Maksim Usanov 84), Nana Attakora, Adrian Cann, Nick Garcia, Fuad Ibrahim (Maicon Santos 63), Amadou Sanyang, Julian de Guzman, Nick LaBrocca (Jacob Peterson 72), Dwayne De Rosario, Chad Barrett.
	16	2010-07-24	H	Dallas	1-1	D	6-5-5	Santos 2 (de Guzman 2) 61	Stefan Frei, Dan Gargan, Adrian Cann, Nick Garcia, Raivis Hscanovics (Nana Attakora 67), Dwayne De Rosario (Jacob Peterson 81), Julian de Guzman, Amadou Sanyang (Mista 55), Nick LaBrocca, Chad Barrett, Maicon Santos.
	CL-P	2010-07-27	H	Motagua	1-0	W		Barrett (De Rosario) 20	Stefan Frei, Maksim Usanov (Dan Gargan 46), Adrian Cann, Nana Attakora, Nick Garcia, Dwayne De Rosario, Julian de Guzman, Joseph Nane, Jacob Peterson, Chad Barrett (Maicon Santos 46), O'Brian White (Mista 62)
	17	2010-07-31	A	Kansas City	0-1	L	6-6-5		Stefan Frei, Dan Gargan, Nana Attakora, Adrian Cann, Nick Garcia, Joseph Nane (Gabe Gala 73), Julian de Guzman, Jacob Peterson (Dwayne De Rosario 58), Nick LaBrocca, Maicon Santos, Mista (Chad Barrett 58).
	CL-P	2010-08-03	A	Motagua	2-2	D		De Rosario (Santos) 58; Barrett 79	Stefan Frei, Nick Garcia, Adrian Cann, Nana Attakora, Doneil Henry (Maicon Santos 31), Nick LaBrocca (Jacob Peterson 73), Julian de Guzman, Joseph Nane, Dan Gargan, Dwayne De Rosario, Chad Barrett (Mista 82)
	18	2010-08-07	H	Chivas USA	2-1	W	7-6-5	Attakora 1 (Gargan 4) 21; Barrett 6 (Santos 1, Peterson 1) 32	Stefan Frei, Dan Gargan, Nana Attakora, Adrian Cann, Nick Garcia, Dwayne De Rosario, Joseph Nane, Julian de Guzman, Jacob Peterson (Nick LaBrocca 67), Maicon Santos (Mista 56), Chad Barrett (Fuad Ibrahim 78).
	19	2010-08-11	A	New York	0-1	L	7-7-5		Stefan Frei, Maksim Usanov, Nana Attakora, Adrian Cann, Nick Garcia, Jacob Peterson (O'Brian White 65), Joseph Nane (Fuad Ibrahim 76), Julian de Guzman, Nick LaBrocca, Dwayne De Rosario, Chad Barrett (Mista 33).
	CL-G	2010-08-17	H	Cruz Azul	2-1	W		Saric 3; Mista (Hscanovics) 44	Jon Conway, Maksim Usanov, Adrian Cann, Nana Attakora, Raivis Hscanovics, Nick LaBrocca, Martin Saric (Jacob Peterson 65), Julian de Guzman, Dwayne De Rosario, O’Brian White (Fuad Ibrahim 78), Mista (Joseph Nane 67)
	20	2010-08-21	H	New York	1-4	L	7-8-5	De Rosario 9 (White 2) 49	Stefan Frei, Dan Gargan, Adrian Cann, Nana Attakora (sent off 60), Nick Garcia, Dwayne De Rosario, Martin Saric (Fuad Ibrahim 77), Joseph Nane, Nick LaBrocca, O'Brian White (Chad Barrett 63), Mista (Jacob Peterson 46)
	CL-G	2010-08-24	A	Arabe Unido	0-1	L			Milos Kocic, Maksim Usanov (Dan Gargan 62), Nana Attakora, Ty Harden, Raivis Hscanovics, Martin Saric (Joseph Nane 60), Nick LaBrocca (sent off 50), Julian de Guzman, Gabe Gala, Fuad Ibrahim (sent off 88), O'Brian White (Dwayne De Rosario 46)
