Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/12/1997	Carolina Dynamo	Raleigh Flyers	1	2	1,456	League Game	LGE			As Scored	0	0	
4/12/1997	Jacksonville Cyclones	Toronto Lynx	3	1	5,190	League Game	LGE			As Scored	0	0	
4/12/1997	Seattle Sounders	Vancouver 86ers	0	1	4,561	League Game	LGE			As Scored	0	0	
4/18/1997	California Jaguars	El Paso Patriots	2	0	100	League Game	LGE			As Scored	0	0	
4/18/1997	Nashville Metros	Milwaukee Rampage	0	0	2,630	League Game	LGE	Nashville wins SO 2-1		As Scored	0	0	
4/18/1997	Orlando Sundogs	Long Island Rough Riders	0	2	3,412	League Game	LGE			As Scored	0	0	
4/18/1997	Vancouver 86ers	Seattle Sounders	0	1	4,119	League Game	LGE			As Scored	0	0	
4/19/1997	Atlanta Ruckus	Milwaukee Rampage	0	1	3,272	League Game	LGE			As Scored	0	0	
4/19/1997	Charleston Battery	Toronto Lynx	4	2	1,620	League Game	LGE			As Scored	0	0	
4/19/1997	Raleigh Flyers	Hershey Wildcats	0	1	2,192	League Game	LGE			As Scored	0	0	
4/20/1997	Colorado Foxes	Seattle Sounders	0	1	742	League Game	LGE			As Scored	0	0	
4/20/1997	Orange County Zodiac	El Paso Patriots	1	0	1	League Game	LGE			As Scored	0	0	
4/23/1997	California Jaguars	Vancouver 86ers	3	1	800	League Game	LGE			As Scored	0	0	
4/24/1997	Jacksonville Cyclones	Long Island Rough Riders	0	0	2,098	League Game	LGE	Long Island wins 4-3 in SO		As Scored	0	0	
4/25/1997	Atlanta Ruckus	El Paso Patriots	3	0	1,857	League Game	LGE			As Scored	0	0	
4/25/1997	Carolina Dynamo	Hershey Wildcats	1	1	2,754	League Game	LGE			As Scored	0	0	
4/25/1997	Charleston Battery	Worcester Wildfire	2	1	1,126	League Game	LGE			As Scored	0	0	
4/25/1997	Nashville Metros	New Orleans Riverboat Gamblers	0	0	3,250	League Game	LGE	Nashville wins 3-1 so		As Scored	0	0	
4/25/1997	Orange County Zodiac	Vancouver 86ers	1	2	2,185	League Game	LGE			As Scored	0	0	
4/25/1997	Orlando Sundogs	Minnesota Thunder	0	1	1,955	League Game	LGE			As Scored	0	0	
4/25/1997	Richmond Kickers	Raleigh Flyers	1	0	2,135	League Game	LGE			As Scored	0	0	
4/26/1997	Connecticut Wolves	Long Island Rough Riders	2	0	2,388	League Game	LGE			As Scored	0	0	
4/26/1997	Jacksonville Cyclones	Worcester Wildfire	0	1	1,920	League Game	LGE			As Scored	0	0	
4/26/1997	Raleigh Flyers	Richmond Kickers	0	0	1,808	League Game	LGE	Raleigh wins SO 3-2		As Scored	0	0	
4/26/1997	Seattle Sounders	Colorado Foxes	2	3	2,505	League Game	LGE			As Scored	0	0	
4/27/1997	Nashville Metros	El Paso Patriots	0	2	410	League Game	LGE			As Scored	0	0	
4/27/1997	New Orleans Riverboat Gamblers	Minnesota Thunder	0	0	272	League Game	LGE	New Orleans wins SO 3-2		As Scored	0	0	
4/30/1997	Vancouver 86ers	Orange County Zodiac	3	0	3,115	League Game	LGE			As Scored	0	0	
5/2/1997	Atlanta Ruckus	Minnesota Thunder	1	0	1,262	League Game	LGE			As Scored	0	0	
5/2/1997	New Orleans Riverboat Gamblers	Milwaukee Rampage	2	0	689	League Game	LGE			As Scored	0	0	
5/2/1997	Orange County Zodiac	Seattle Sounders	1	2	1,875	League Game	LGE			As Scored	0	0	
5/2/1997	Richmond Kickers	Hershey Wildcats	0	1	1,287	League Game	LGE			As Scored	0	0	
5/2/1997	Worcester Wildfire	Toronto Lynx	1	3	2,356	League Game	LGE			As Scored	0	0	
5/3/1997	Charleston Battery	Jacksonville Cyclones	3	2	1,554	League Game	LGE			As Scored	0	0	
5/3/1997	Colorado Foxes	El Paso Patriots	4	3	2,325	League Game	LGE			As Scored	0	0	
5/3/1997	Hershey Wildcats	Rochester Rhinos	1	3	4,372	League Game	LGE			As Scored	0	0	
5/3/1997	Nashville Metros	Minnesota Thunder	1	0	810	League Game	LGE			As Scored	0	0	
5/3/1997	Raleigh Flyers	Carolina Dynamo	2	2	2,116	League Game	LGE	Raleigh wins SO 3-1		As Scored	0	0	
5/4/1997	California Jaguars	Seattle Sounders	3	1	1,300	League Game	LGE			As Scored	0	0	
5/4/1997	Orlando Sundogs	Milwaukee Rampage	2	1	1,540	League Game	LGE			As Scored	0	0	
5/4/1997	Richmond Kickers	Long Island Rough Riders	3	1	1,386	League Game	LGE			As Scored	0	0	
5/7/1997	Vancouver 86ers	New Orleans Riverboat Gamblers	4	0	3,058	League Game	LGE			As Scored	0	0	
5/9/1997	Charleston Battery	Rochester Rhinos	1	2	1,149	League Game	LGE			As Scored	0	0	
5/9/1997	El Paso Patriots	Orlando Sundogs	1	1	3,185	League Game	LGE	El Paso wins SO 2-0		As Scored	0	0	
5/9/1997	Richmond Kickers	Toronto Lynx	0	3	1,126	League Game	LGE			As Scored	0	0	
5/9/1997	Worcester Wildfire	Raleigh Flyers	3	0	100	League Game	LGE			As Scored	0	0	
5/10/1997	Carolina Dynamo	Jacksonville Cyclones	3	0	1,986	League Game	LGE			As Scored	0	0	
5/10/1997	Connecticut Wolves	Raleigh Flyers	1	1	2,042	League Game	LGE			As Scored	0	0	
5/10/1997	Hershey Wildcats	Richmond Kickers	0	1	0	League Game	LGE			As Scored	0	0	
5/10/1997	Seattle Sounders	New Orleans Riverboat Gamblers	4	0	2,503	League Game	LGE			As Scored	0	0	
5/11/1997	Colorado Foxes	Orlando Sundogs	5	1	100	League Game	LGE			As Scored	0	0	
5/11/1997	Connecticut Wolves	Hershey Wildcats	1	2	1,205	League Game	LGE			As Scored	0	0	
5/11/1997	Minnesota Thunder	Milwaukee Rampage	2	2	2,791	League Game	LGE	Milwaukee wins SO 1-0		As Scored	0	0	
5/14/1997	Charleston Battery	Montreal Impact	0	2	1,498	League Game	LGE			As Scored	0	0	
5/14/1997	Jacksonville Cyclones	Rochester Rhinos	0	1	1,759	League Game	LGE			As Scored	0	0	
5/14/1997	Richmond Kickers	Raleigh Flyers	0	1	1,125	League Game	LGE			As Scored	0	0	
5/16/1997	Carolina Dynamo	Rochester Rhinos	0	1	2,008	League Game	LGE			As Scored	0	0	
5/16/1997	Milwaukee Rampage	El Paso Patriots	3	1	2,481	League Game	LGE			As Scored	0	0	
5/16/1997	Nashville Metros	Seattle Sounders	0	1	2,814	League Game	LGE			As Scored	0	0	
5/16/1997	New Orleans Riverboat Gamblers	Vancouver 86ers	2	4	1,265	League Game	LGE			As Scored	0	0	
5/16/1997	Orange County Zodiac	Colorado Foxes	2	4	1,895	League Game	LGE			As Scored	0	0	
5/16/1997	Raleigh Flyers	Montreal Impact	0	0	1,267	League Game	LGE	Raleigh wins SO 2-1		As Scored	0	0	
5/16/1997	Worcester Wildfire	Long Island Rough Riders	0	3	1,957	League Game	LGE			As Scored	0	0	
5/17/1997	Hershey Wildcats	Charleston Battery	5	0	3,010	League Game	LGE			As Scored	0	0	
5/18/1997	Atlanta Ruckus	Seattle Sounders	0	0	3,782	League Game	LGE	Seattle wins 3-1 in SO		As Scored	0	0	
5/18/1997	California Jaguars	Colorado Foxes	3	0	100	League Game	LGE			As Scored	0	0	
5/18/1997	Connecticut Wolves	Long Island Rough Riders	0	2	1,117	League Game	LGE			As Scored	0	0	
5/18/1997	Jacksonville Cyclones	Montreal Impact	0	3	1,581	League Game	LGE			As Scored	0	0	
