Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/9/1999	Orange County Zodiac	San Diego Flash	2	1	1,200	League Game	LGE			As Scored	0	0	
4/10/1999	San Diego Flash	Orange County Zodiac	2	1	3,726	League Game	LGE			As Scored	0	0	
4/15/1999	Orange County Zodiac	US Pro 40	1	1	623	League Game	LGE			As Scored	0	0	
4/16/1999	Jacksonville Cyclones	Boston Bulldogs	1	3	625	League Game	LGE			As Scored	0	0	
4/17/1999	Atlanta Silverbacks	Connecticut Wolves	1	0	8,613	League Game	LGE			As Scored	0	0	
4/17/1999	Orange County Zodiac	SFB Seals	4	2	557	League Game	LGE			As Scored	0	0	
4/17/1999	San Diego Flash	US Pro 40	5	2	2,606	League Game	LGE			As Scored	0	0	
4/18/1999	Jacksonville Cyclones	Connecticut Wolves	4	3	100	League Game	LGE			As Scored	0	0	
4/24/1999	Charleston Battery	Atlanta Silverbacks	3	0	5,186	League Game	LGE			As Scored	0	0	
4/24/1999	Connecticut Wolves	Boston Bulldogs	1	0	3,132	League Game	LGE			As Scored	0	0	
4/24/1999	El Paso Patriots	San Diego Flash	3	4	3,420	League Game	LGE			As Scored	0	0	
4/24/1999	Hampton Roads Mariners	Hershey Wildcats	2	1	2,643	League Game	LGE			As Scored	0	0	
4/24/1999	Long Island Rough Riders	Richmond Kickers	0	1	3,208	League Game	LGE			As Scored	0	0	
4/24/1999	Raleigh Capital Express	Jacksonville Cyclones	0	2	1,792	League Game	LGE			As Scored	0	0	
4/24/1999	Sacramento Geckos	SFB Seals	0	2	100	League Game	LGE			As Scored	0	0	
4/24/1999	Tennessee Rhythm	Indiana Blast	1	3	325	League Game	LGE			As Scored	0	0	
4/29/1999	Raleigh Capital Express	Maryland Mania	2	0	787	League Game	LGE			As Scored	0	0	
4/30/1999	Boston Bulldogs	Lehigh Valley Steam	1	1	735	League Game	LGE			As Scored	0	0	
4/30/1999	El Paso Patriots	US Pro 40	2	0	4,310	League Game	LGE			As Scored	0	0	
4/30/1999	New Orleans Storm	Indiana Blast	2	0	2,245	League Game	LGE			As Scored	0	0	
4/30/1999	San Diego Flash	Tennessee Rhythm	1	1	2,116	League Game	LGE			As Scored	0	0	
5/1/1999	Atlanta Silverbacks	Jacksonville Cyclones	1	0	3,284	League Game	LGE			As Scored	0	0	
5/1/1999	Charleston Battery	Raleigh Capital Express	0	0	2,476	League Game	LGE			As Scored	0	0	
5/1/1999	Long Island Rough Riders	Hershey Wildcats	2	1	1,705	League Game	LGE			As Scored	0	0	
5/1/1999	Orange County Zodiac	Tennessee Rhythm	5	1	826	League Game	LGE			As Scored	0	0	
5/1/1999	Pittsburgh Riverhounds	Cincinnati Riverhawks	2	2	5,639	League Game	LGE			As Scored	0	0	
5/1/1999	Richmond Kickers	Hampton Roads Mariners	1	1	2,179	League Game	LGE			As Scored	0	0	
5/1/1999	Rochester Rhinos	Minnesota Thunder	0	1	12,870	League Game	LGE			As Scored	0	0	
5/1/1999	SFB Seals	Sacramento Geckos	1	0	2,370	League Game	LGE			As Scored	0	0	
5/1/1999	Vancouver 86ers	Seattle Sounders	1	2	5,144	League Game	LGE			As Scored	0	0	
5/2/1999	New Orleans Storm	US Pro 40	0	3	1,335	League Game	LGE			As Scored	0	0	
5/2/1999	Toronto Lynx	Minnesota Thunder	0	0	1,183	League Game	LGE			As Scored	0	0	
5/5/1999	El Paso Patriots	Indiana Blast	1	0	3,025	League Game	LGE			As Scored	0	0	
5/6/1999	SFB Seals	US Pro 40	0	1	418	League Game	LGE			As Scored	0	0	
5/7/1999	Connecticut Wolves	Rochester Rhinos	0	1	498	League Game	LGE			As Scored	0	0	
5/7/1999	Hershey Wildcats	Charleston Battery	1	2	3,398	League Game	LGE			As Scored	0	0	
5/7/1999	Orange County Zodiac	Indiana Blast	4	6	857	League Game	LGE			As Scored	0	0	
5/7/1999	Raleigh Capital Express	Hampton Roads Mariners	2	1	1,323	League Game	LGE			As Scored	0	0	
5/7/1999	Richmond Kickers	Toronto Lynx	0	0	4,014	League Game	LGE			As Scored	0	0	
5/8/1999	Atlanta Silverbacks	Long Island Rough Riders	1	2	2,423	League Game	LGE			As Scored	0	0	
5/8/1999	Connecticut Wolves	Staten Island Vipers	0	3	1,250	League Game	LGE			As Scored	0	0	
5/8/1999	Hampton Roads Mariners	Toronto Lynx	1	0	3,540	League Game	LGE			As Scored	0	0	
5/8/1999	Milwaukee Rampage	New Orleans Storm	4	0	3,891	League Game	LGE			As Scored	0	0	
5/8/1999	Pittsburgh Riverhounds	Lehigh Valley Steam	1	0	4,260	League Game	LGE			As Scored	0	0	
5/8/1999	Sacramento Geckos	US Pro 40	0	1	379	League Game	LGE			As Scored	0	0	
5/8/1999	Seattle Sounders	Vancouver 86ers	2	1	3,778	League Game	LGE			As Scored	0	0	
5/8/1999	Tennessee Rhythm	Cincinnati Riverhawks	2	1	1,050	League Game	LGE			As Scored	0	0	
5/9/1999	Boston Bulldogs	Rochester Rhinos	1	2	243	League Game	LGE			As Scored	0	0	
5/9/1999	Jacksonville Cyclones	Long Island Rough Riders	4	2	883	League Game	LGE			As Scored	0	0	
5/9/1999	Maryland Mania	Charleston Battery	0	2	1,104	League Game	LGE			As Scored	0	0	
5/9/1999	Minnesota Thunder	New Orleans Storm	2	0	1,380	League Game	LGE			As Scored	0	0	
5/9/1999	San Diego Flash	Indiana Blast	6	0	2,302	League Game	LGE			As Scored	0	0	
5/13/1999	Tennessee Rhythm	US Pro 40	1	2	450	League Game	LGE			As Scored	0	0	
5/14/1999	Atlanta Silverbacks	Staten Island Vipers	0	2	1,304	League Game	LGE			As Scored	0	0	
5/14/1999	Boston Bulldogs	Pittsburgh Riverhounds	1	0	337	League Game	LGE			As Scored	0	0	
5/14/1999	Charleston Battery	Richmond Kickers	3	1	4,317	League Game	LGE			As Scored	0	0	
5/14/1999	Indiana Blast	Cincinnati Riverhawks	0	0	2,981	League Game	LGE			As Scored	0	0	
5/14/1999	New Orleans Storm	Jacksonville Cyclones	0	1	2,224	League Game	LGE			As Scored	0	0	
5/14/1999	Orange County Zodiac	Seattle Sounders	1	4	608	League Game	LGE			As Scored	0	0	
5/15/1999	Long Island Rough Riders	Connecticut Wolves	3	0	2,895	League Game	LGE			As Scored	0	0	
5/15/1999	Maryland Mania	Lehigh Valley Steam	0	1	1,133	League Game	LGE			As Scored	0	0	
5/15/1999	Milwaukee Rampage	Cincinnati Riverhawks	1	1	2,817	League Game	LGE			As Scored	0	0	
5/15/1999	Raleigh Capital Express	Hershey Wildcats	1	1	2,197	League Game	LGE			As Scored	0	0	
5/15/1999	Rochester Rhinos	Toronto Lynx	3	1	10,471	League Game	LGE			As Scored	0	0	
5/15/1999	Sacramento Geckos	Minnesota Thunder	0	1	100	League Game	LGE			As Scored	0	0	
5/15/1999	San Diego Flash	Seattle Sounders	2	0	2,785	League Game	LGE			As Scored	0	0	
5/15/1999	Tennessee Rhythm	US Pro 40	0	2	850	League Game	LGE			As Scored	0	0	
5/16/1999	El Paso Patriots	New Orleans Storm	1	2	312	League Game	LGE			As Scored	0	0	
5/16/1999	Jacksonville Cyclones	Staten Island Vipers	1	2	872	League Game	LGE			As Scored	0	0	
5/16/1999	SFB Seals	Minnesota Thunder	0	1	1,279	League Game	LGE			As Scored	0	0	
5/20/1999	Maryland Mania	Atlanta Silverbacks	1	1	312	League Game	LGE			As Scored	0	0	
5/20/1999	Pittsburgh Riverhounds	Raleigh Capital Express	7	0	3,605	League Game	LGE			As Scored	0	0	
5/21/1999	Boston Bulldogs	Connecticut Wolves	3	0	306	League Game	LGE			As Scored	0	0	
