Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
2/15/1996	Cocoa Expos	Tusberg Landshut - Germany	2	0	0	Friendly	FDLY			As Scored	0	0	
2/18/1996	Shimizu S-Pulse - Japan	Minnesota Thunder	2	1	1	Friendly	FDLY			As Scored	0	0	
2/19/1996	Cocoa Expos	Norresundby Boldklub - Denmark	1	0	0	Friendly	FDLY			As Scored	0	0	
2/21/1996	Gamba Osaka - Japan	Minnesota Thunder	2	3	1	Friendly	FDLY			As Scored	0	0	
5/10/1996	Vissel Kobe - Japan	Seattle Sounders	1	2	100	Friendly	FDLY			As Scored	0	0	
5/22/1996	New England Revolution	Fiorentina - Italy	0	2	14,047	Friendly	FDLY		Dilvo Diplacido	As Scored	0	0	
5/24/1996	MetroStars	Fiorentina - Italy	0	4	25,021	Friendly	FDLY		Paul Tamberino	As Scored	0	0	
5/26/1996	San Jose Earthquakes	Bayer Leverkusen - Germany	3	4	10,389	Friendly	FDLY		Brian Hall	As Scored	0	0	
5/26/1996	Tampa Bay Mutiny	Feyenoord - Netherlands	1	1	6,205	Friendly	FDLY		Zim Boulos	As Scored	0	0	
5/28/1996	South Carolina Shamrocks	Ireland U-23	2	3	1,631	Friendly	FDLY			As Scored	0	0	
6/5/1996	MetroStars	Sporting Lisbon XI - Portugal	1	1	18,428	Friendly	FDLY		Raul Dominguez	As Scored	0	0	
6/12/1996	San Jose Earthquakes	UNAM - Mexico	2	1	11,955	Friendly	FDLY		Timothy Weyland	As Scored	0	0	
6/30/1996	Central Jersey Riptide	Wisla Krakow - Poland	1	5	1,000	Friendly	FDLY			As Scored	0	0	
7/11/1996	Los Angeles Galaxy	El Salvador	1	1	21,363	Friendly	FDLY			As Scored	0	0	
7/12/1996	MetroStars	Italy 	0	1	4,000	Friendly	FDLY			As Scored	0	0	
8/4/1996	Long Island Rough Riders	CD Aguila - El Salvador	1	0	4,163	Friendly	FDLY			As Scored	0	0	
8/14/1996	Los Angeles Galaxy	Necaxa - Mexico	1	2	12,992	Friendly	FDLY			As Scored	0	0	
9/10/1996	DC United	Luis Angel Firpo - El Salvador	2	1	6,519	Friendly	FDLY			As Scored	0	0	
9/20/1996	Chicago Stingers	Cruz Azul - Mexico	0	1	4,289	Friendly	FDLY			As Scored	0	0	
10/27/1996	Los Angeles Galaxy	Deportivo Cali - Colombia	2	3	12,723	Friendly	FDLY			As Scored	0	0	
10/30/1996	Sichuan Quanxing - China	San Jose Earthquakes	0	3	35,000	Friendly	FDLY			As Scored	0	0	
11/5/1996	Beijing Guoan - China	San Jose Earthquakes	1	0	25,000	Friendly	FDLY			As Scored	0	0	
11/16/1996	Dallas Burn	El Salvador	3	2	13,369	Friendly	FDLY			As Scored	0	0	
1/25/1997	Tampa Bay Mutiny	SSK Vitkovice - Czech 	1	1	25	Friendly	FDLY			As Scored	0	0	
2/13/1997	Arezzo - Italy	MetroStars	3	1	50	Friendly	FDLY			As Scored	0	0	
2/18/1997	Serie  C U-21 - Italy	MetroStars	3	1	50	Friendly	FDLY			As Scored	0	0	
2/20/1997	Genoa - Italy	MetroStars	2	1	50	Friendly	FDLY			As Scored	0	0	
2/22/1997	New England Revolution	Viborg - Denmark	1	0	2,750	Friendly	FDLY			As Scored	0	0	
2/25/1997	Atlas Academicos - Mexico	Colorado Rapids	0	1	50	Friendly	FDLY			As Scored	0	0	
2/25/1997	Atlas - Mexico	San Jose Earthquakes	2	1	25	Friendly	FDLY			As Scored	0	0	
2/26/1997	Dallas Burn	Viborg - Denmark	2	0	1	Friendly	FDLY			As Scored	0	0	
