Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Suri, Mo	Atlanta Ruckus	Milwaukee Rampage	Atlanta Ruckus	8/26/1997	71		LGE	Jacinto, Jacenir		
Henry, Todd	California Jaguars	California Jaguars	Vancouver 86ers	8/26/1997	44		LGE	Holocher, Paul		
Baena, Mark	California Jaguars	California Jaguars	Vancouver 86ers	8/26/1997	61		LGE	Robertson, Ralph		
Allnutt, Yari	Carolina Dynamo	Carolina Dynamo	Raleigh Flyers	8/27/1997	6		LGE	Stockton, Khary		
Loftin, Brian	Carolina Dynamo	Carolina Dynamo	Raleigh Flyers	8/27/1997	29		LGE	Hamid, Ayman		
Hamid, Ayman	Carolina Dynamo	Carolina Dynamo	Raleigh Flyers	8/27/1997	58		LGE	Loftin, Brian		
Loftin, Brian	Carolina Dynamo	Carolina Dynamo	Raleigh Flyers	8/27/1997	67		LGE	Allnutt, Yari		
Loftin, Brian	Carolina Dynamo	Carolina Dynamo	Raleigh Flyers	8/27/1997	80		LGE	Kelly, Mark		
Duff, Chris	Raleigh Flyers	Carolina Dynamo	Raleigh Flyers	8/27/1997	28		LGE	Arroyo, Mario		
Miller, Doug	Rochester Rhinos	Rochester Rhinos	Long Island Rough Riders	8/29/1997	13		LGE	Martinez, Vince		
Glenn, Jimmy	Rochester Rhinos	Rochester Rhinos	Long Island Rough Riders	8/29/1997	43		LGE	Motajo, Manny		
Daligcon, Nate	Rochester Rhinos	Rochester Rhinos	Long Island Rough Riders	8/29/1997	48		LGE			
Miller, Doug	Rochester Rhinos	Rochester Rhinos	Long Island Rough Riders	8/29/1997	58		LGE	Moxom, David		
Barbieri, Erik	Connecticut Wolves	Connecticut Wolves	Richmond Kickers	8/29/1997	7		LGE	McDermott, Michael (Mick)		
Barbieri, Erik	Connecticut Wolves	Connecticut Wolves	Richmond Kickers	8/29/1997	8		LGE	Hickey, Ben		
Camaj, Anton	Connecticut Wolves	Connecticut Wolves	Richmond Kickers	8/29/1997	34		LGE	Barbieri, Erik		
Boney, Shawn	Connecticut Wolves	Connecticut Wolves	Richmond Kickers	8/29/1997	48		LGE			
Ukrop, Rob	Richmond Kickers	Connecticut Wolves	Richmond Kickers	8/29/1997	13		LGE	Edwards, Dale		
Lone, Mario	Richmond Kickers	Connecticut Wolves	Richmond Kickers	8/29/1997	71		LGE	Riegler, Jason		
Ladimir, Ron	Orlando Sundogs	Orlando Sundogs	Orange County Zodiac	8/29/1997	4		LGE	Gutierrez, Henry		
Barnes, Sebastian	Orlando Sundogs	Orlando Sundogs	Orange County Zodiac	8/29/1997	24		LGE			
Ladimir, Ron	Orlando Sundogs	Orlando Sundogs	Orange County Zodiac	8/29/1997	29		LGE	Hattrup, Peter		
Szczepanski, Jon	Milwaukee Rampage	Milwaukee Rampage	Montreal Impact	8/29/1997	49	Penalty	LGE			
DeSantis, Nick	Montreal Impact	Milwaukee Rampage	Montreal Impact	8/29/1997	62		LGE	Davis, Fabian		
DeSantis, Nick	Montreal Impact	Milwaukee Rampage	Montreal Impact	8/29/1997	73	Penalty	LGE			
Wescott, Sterling	Colorado Foxes	Minnesota Thunder	Colorado Foxes	8/29/1997	45		LGE			
Mobilio, Domenic	Vancouver 86ers	Vancouver 86ers	Seattle Sounders	8/29/1997	23	Penalty	LGE			
Kusch, Garrett	Vancouver 86ers	Vancouver 86ers	Seattle Sounders	8/29/1997	43		LGE	Fitzsimons, Stuart		
Figueroa, Vicente	Seattle Sounders	Vancouver 86ers	Seattle Sounders	8/29/1997	56		LGE	Alcerro, Ricardo		
Miles, Matt	Worcester Wildfire	Worcester Wildfire	Richmond Kickers	8/30/1997	35		LGE	Veselka, Chris		
McKay, Josh	Richmond Kickers	Worcester Wildfire	Richmond Kickers	8/30/1997	16		LGE			
