Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Quigley, Kevin	Nashville Metros	New Orleans Storm	Nashville Metros	4/2/1998	68		LGE	Smith, John		
Glasgow, Gary	New Orleans Storm	New Orleans Storm	Albuquerque Geckos	4/4/1998	50		LGE	Blanchard, Richard (Ricky)		
Felician, Lester	New Orleans Storm	New Orleans Storm	Albuquerque Geckos	4/4/1998	53		LGE	Villanueva, Mauricio		
Glasgow, Gary	New Orleans Storm	New Orleans Storm	Albuquerque Geckos	4/4/1998	64		LGE	Benjamin, Glenn		
Villanueva, Mauricio	New Orleans Storm	New Orleans Storm	Albuquerque Geckos	4/4/1998	70		LGE			
Louis, Richie	Albuquerque Geckos	New Orleans Storm	Albuquerque Geckos	4/4/1998	62		LGE	Moore, William		
Simpson, Kimtai	San Francisco Bay Seals	San Francisco Bay Seals	California Jaguars	4/4/1998	14		LGE	Sablo, Angelo		
Mann, Randy	California Jaguars	California Jaguars	El Paso Patriots	4/10/1998	11		LGE			
Holocher, Paul	California Jaguars	California Jaguars	El Paso Patriots	4/10/1998	89		LGE			
Stewart, David	El Paso Patriots	California Jaguars	El Paso Patriots	4/10/1998	2		LGE			
Wilson, Kirk	El Paso Patriots	California Jaguars	El Paso Patriots	4/10/1998	22		LGE			
Guardado, Herman	El Paso Patriots	California Jaguars	El Paso Patriots	4/10/1998	74		LGE			
Lomeli, Jose	El Paso Patriots	California Jaguars	El Paso Patriots	4/10/1998	84		LGE			
Lomeli, Jose	El Paso Patriots	California Jaguars	El Paso Patriots	4/10/1998	86		LGE			
Roselli, Chris	Raleigh Flyers	Charleston Battery	Raleigh Flyers	4/11/1998	43		LGE			
Ortiz, Oswaldo	Jacksonville Cyclones	Jacksonville Cyclones	Nashville Metros	4/11/1998	82	Penalty	LGE			
Quigley, Kevin	Nashville Metros	Jacksonville Cyclones	Nashville Metros	4/11/1998	8		LGE	Klein, Stephen		
Gunn, Jeremy	Nashville Metros	Jacksonville Cyclones	Nashville Metros	4/11/1998	30		LGE	Bankov, Kalin		
Gunn, Jeremy	Nashville Metros	Jacksonville Cyclones	Nashville Metros	4/11/1998	48		LGE	Eastman, Gabe		
Klein, Stephen	Nashville Metros	Jacksonville Cyclones	Nashville Metros	4/11/1998	55		LGE	Smith, John		
