Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Marcina, Alen	Puerto Rico Islanders	Puerto Rico Islanders	Atlanta Silverbacks	4/21/2006	5		LGE	Villegas-Espana, Petter		
Norkus, Joshua (Caleb)	Puerto Rico Islanders	Puerto Rico Islanders	Atlanta Silverbacks	4/21/2006	24		LGE	Valdeberito-Gomez, Kormac		
Marcina, Alen	Puerto Rico Islanders	Puerto Rico Islanders	Atlanta Silverbacks	4/21/2006	32		LGE	Velez, Marco		
George, Liam	Atlanta Silverbacks	Puerto Rico Islanders	Atlanta Silverbacks	4/21/2006	60		LGE	Dawkins, Fabian		
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Cincinnati Kings	4/21/2006	24		LGE	Casey, Sam		
Simmonds, Greg	Virginia Beach Mariners	Virginia Beach Mariners	Toronto Lynx	4/22/2006	19		LGE	Brillant, Felix		
Simmonds, Greg	Virginia Beach Mariners	Virginia Beach Mariners	Toronto Lynx	4/22/2006	70		LGE			
Smith, Derek	Cincinnati Kings	Richmond Kickers	Cincinnati Kings	4/23/2006	50		LGE	Jaman, Nowaf		
Gjertsen, Joey	Vancouver Whitecaps	Vancouver Whitecaps	Portland Timbers	4/22/2006	17		LGE	Jordan, Jason		
Villegas-Espana, Petter	Puerto Rico Islanders	Puerto Rico Islanders	Atlanta Silverbacks	4/23/2006	59		LGE	Gonzalez-Pareja, Alejandro		
George, Liam	Atlanta Silverbacks	Puerto Rico Islanders	Atlanta Silverbacks	4/23/2006	89		LGE			
Tarley, Duncan (Melvin)	Minnesota Thunder	Minnesota Thunder	Seattle Sounders	4/23/2006	14		LGE	Knox, Nathan		
Gibson, Leo	Minnesota Thunder	Minnesota Thunder	Seattle Sounders	4/23/2006	15		LGE			
Alvino, Terry	Minnesota Thunder	Minnesota Thunder	Seattle Sounders	4/23/2006	74		LGE	Knox, Nathan		
Paye, Aaron	Minnesota Thunder	Minnesota Thunder	Seattle Sounders	4/23/2006	86		LGE	Alvino, Terry		
Glinton, Gavin	Charleston Battery	Charleston Battery	Virginia Beach Mariners	4/29/2006	9		LGE			
Glinton, Gavin	Charleston Battery	Charleston Battery	Virginia Beach Mariners	4/29/2006	64		LGE	Daley, Omar		
Aguilera-Navarro, Santiago	Fresno Fuego	Fresno Fuego	San Diego Gauchos	4/29/2006	12		LGE	Blanco, Nehemias		
Cignetti, Gaston	Fresno Fuego	Fresno Fuego	San Diego Gauchos	4/29/2006	24		LGE			
Arteaga, Adam	Fresno Fuego	Fresno Fuego	San Diego Gauchos	4/29/2006	34		LGE	Gutierrez, Jorge (Eddie)		
Rivera, Raul	Fresno Fuego	Fresno Fuego	San Diego Gauchos	4/29/2006	40		LGE	Aguilera-Navarro, Santiago		
Gutierrez, Jorge (Eddie)	Fresno Fuego	Fresno Fuego	San Diego Gauchos	4/29/2006	80		LGE			
Espinoza, Oscar	San Diego Gauchos	Fresno Fuego	San Diego Gauchos	4/29/2006	10		LGE	Macias, Jorge		
Silvas, Miguel	San Diego Gauchos	Fresno Fuego	San Diego Gauchos	4/29/2006	40		LGE	Kulpa, Adam		
Hughes, Jeffrey	Cincinnati Kings	Harrisburg City Islanders	Cincinnati Kings	4/29/2006	14		LGE			
Hughes, Jeffrey	Cincinnati Kings	Harrisburg City Islanders	Cincinnati Kings	4/29/2006	35		LGE	Jaman, Nowaf		
Sanchez, Jesus	Laredo Heat	Laredo Heat	Austin Lighting	4/29/2006	41		LGE	Galvan-Barbosa, Daniel		
Contreras-Coronado, Ernest	Laredo Heat	Laredo Heat	Austin Lighting	4/29/2006	42		LGE	Presas-Delgado, Arnoldo		
Presas-Delgado, Arnoldo	Laredo Heat	Laredo Heat	Austin Lighting	4/29/2006	61		LGE	Galvan-Barbosa, Daniel		
Sanchez, Jesus	Laredo Heat	Laredo Heat	Austin Lighting	4/29/2006	88		LGE	Almack, Jacob		
Chandler, Jared	Austin Lighting	Laredo Heat	Austin Lighting	4/29/2006	52	Penalty	LGE			
Vega-Borbon, Jorge	Austin Lighting	Laredo Heat	Austin Lighting	4/29/2006	72		LGE	Barletta, Giovanni		
Pereira-Mendes, Pedro	Austin Lighting	Laredo Heat	Austin Lighting	4/29/2006	78		LGE	Barletta, Giovanni		
Gjertsen, Joey	Vancouver Whitecaps	Vancouver Whitecaps	Toronto Lynx	4/29/2006	45		LGE	Valente, Alfredo		
Matondo, Sita-Taty	Vancouver Whitecaps	Vancouver Whitecaps	Toronto Lynx	4/29/2006	82		LGE			
McFarlane, Omar	Western Mass Pioneers	Wilmington Hammerheads	Western Mass Pioneers	4/29/2006	59		LGE			
Salles-De Alencar, Mauricio	Montreal Impact	Puerto Rico Islanders	Montreal Impact	4/30/2006	11		LGE			
Hunter, Benjamin	Carolina Dynamo	Carolina Dynamo	Nashville Metros	5/5/2006	13		LGE	Bouemboue, Ronnie		
Hunter, Benjamin	Carolina Dynamo	Carolina Dynamo	Nashville Metros	5/5/2006	21		LGE	Patterson, Randi		
Hunter, Benjamin	Carolina Dynamo	Carolina Dynamo	Nashville Metros	5/5/2006	33		LGE	Roberts, Darryl		
Roberts, Darryl	Carolina Dynamo	Carolina Dynamo	Nashville Metros	5/5/2006	39		LGE	Jones, Scott		
Roberts, Darryl	Carolina Dynamo	Carolina Dynamo	Nashville Metros	5/5/2006	45		LGE	Hunter, Benjamin		
Bouemboue, Ronnie	Carolina Dynamo	Carolina Dynamo	Nashville Metros	5/5/2006	70		LGE	Hunter, Benjamin		
Stjepic, Igor	Nashville Metros	Carolina Dynamo	Nashville Metros	5/5/2006	43		LGE	Alexander, Steven (Carey)		
Bagley, Christopher	Wilmington Hammerheads	Charlotte Eagles	Wilmington Hammerheads	5/5/2006	25		LGE			
Hughes, Jeffrey	Cincinnati Kings	Cincinnati Kings	Western Mass Pioneers	5/5/2006	46		LGE	Cummings, John (Jack)		
Ball, John	Rochester Rhinos	Miami FC	Rochester Rhinos	5/5/2006	7		LGE			
Ball, John	Rochester Rhinos	Miami FC	Rochester Rhinos	5/5/2006	48		LGE			
Gbeke, Charles	Rochester Rhinos	Miami FC	Rochester Rhinos	5/5/2006	58		LGE	Menyongar, John		
Hartung, Daniel (Dan)	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Harrisburg City Islanders	5/5/2006	4		LGE	Flavius, David		
Flavius, David	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Harrisburg City Islanders	5/5/2006	39		LGE	Victor, Gregory		
Bennett, Teofore	Harrisburg City Islanders	Pittsburgh Riverhounds	Harrisburg City Islanders	5/5/2006	53	Penalty	LGE			
Mitchell, Jamel	Harrisburg City Islanders	Pittsburgh Riverhounds	Harrisburg City Islanders	5/5/2006	76		LGE			
Bartlome, Chad	Portland Timbers	Portland Timbers	Vancouver Whitecaps	5/5/2006	21		LGE	Alcaraz-Cueller, Hugo		
Donatelli, Tony	Vancouver Whitecaps	Portland Timbers	Vancouver Whitecaps	5/5/2006	53		LGE	Nash, Martin		
Simmonds, Greg	Virginia Beach Mariners	Virginia Beach Mariners	Atlanta Silverbacks	5/5/2006	75		LGE			
Patterson, Randi	Carolina Dynamo	Carolina Dynamo	Atlanta Silverbacks U-23's	5/6/2006	18		LGE	Jones, Scott		
Hogan, Stephen	Palm Beach Pumas	Central Florida Kraze	Palm Beach Pumas	5/6/2006	18		LGE	Markowski, Jesse		
Galvan-Barbosa, Daniel	Laredo Heat	Laredo Heat	New Orleans Shell Shockers	5/6/2006	13		LGE	Vallejo-Medina, Hector		
Contreras-Coronado, Ernest	Laredo Heat	Laredo Heat	New Orleans Shell Shockers	5/6/2006	19		LGE	Sanchez, Jesus		
Su, Steve	Laredo Heat	Laredo Heat	New Orleans Shell Shockers	5/6/2006	48		LGE	Vallejo-Medina, Hector		
Sanchez, Jesus	Laredo Heat	Laredo Heat	New Orleans Shell Shockers	5/6/2006	85		LGE	Infante, Nicho		
Gunning, Stewart	New Orleans Shell Shockers	Laredo Heat	New Orleans Shell Shockers	5/6/2006	22		LGE			
Peralta-Cato, Nestor	New Orleans Shell Shockers	Laredo Heat	New Orleans Shell Shockers	5/6/2006	23		LGE	Calona-Alvarenga, Henry		
Browne, Leon	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Western Mass Pioneers	5/6/2006	31		LGE			
Salsi, Nathan	Pittsburgh Riverhounds	Pittsburgh Riverhounds	Western Mass Pioneers	5/6/2006	54		LGE			
Deren, Jeff	Western Mass Pioneers	Pittsburgh Riverhounds	Western Mass Pioneers	5/6/2006	82		LGE			
Gutierrez-Mendez, Alejandro	Portland Timbers	Portland Timbers	Minnesota Thunder	5/6/2006	31	Penalty	LGE			
Ready, Troy	Portland Timbers	Portland Timbers	Minnesota Thunder	5/6/2006	69		LGE			
Knox, Nathan	Minnesota Thunder	Portland Timbers	Minnesota Thunder	5/6/2006	5		LGE			
Watson, Matthew	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	20		LGE	Burke, Michael		
Ssejjemba, Robert	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	67		LGE			
Carrieri, Chris	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	74		LGE	Brown, Tim		
Neagu, Christian	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	75		LGE	Ssejjemba, Robert		
Neagu, Christian	Richmond Kickers	Richmond Kickers	Long Island Rough Riders	5/6/2006	90		LGE	Dutt, Eric		
Rus, Cristian	Southern California Seahorses	Southern California Seahorses	California Gold	5/6/2006	50		LGE	Hansen, Josh		
