Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Unknown	DC United	DC United	Tottenham Hotspur - England	5/14/2003	30	Own Goal	FDLY			
Viera, Diego	Tampa Bay Mutiny	Tampa Bay Mutiny	Feyenoord - Netherlands	5/26/1996	84		FDLY			
Rodas, Jorge	San Jose Earthquakes	San Jose Earthquakes	Bayer Leverkusen - Germany	5/26/1996	5		FDLY			
Bravo, Paul	San Jose Earthquakes	San Jose Earthquakes	Bayer Leverkusen - Germany	5/26/1996	26		FDLY	Rodas, Jorge		
Iroha, Ben	San Jose Earthquakes	San Jose Earthquakes	Bayer Leverkusen - Germany	5/26/1996	45		FDLY	Espinoza, Missael		
Maessner, John	DC United	DC United	Luis Angel Firpo - El Salvador	9/10/1996	81		FDLY			
Unkown	DC United	DC United	Luis Angel Firpo - El Salvador	9/10/1996	28	Own Goal	FDLY			
Warzycha, Robert	Dallas Burn	Dallas Burn	El Salvador	11/16/1996	33		FDLY			
Lozzano, Lawrence	Dallas Burn	Dallas Burn	El Salvador	11/16/1996	45		FDLY	Iribarren, Ricardo		
Hattrup, Petter	Dallas Burn	Dallas Burn	El Salvador	11/16/1996	49		FDLY			
Wood, AJ	MetroStars	MetroStars	Sporting Lisbon XI - Portugal	6/5/1996	39		FDLY			
Bravo, Paul	San Jose Earthquakes	San Jose Earthquakes	UNAM - Mexico	6/12/1996	34		FDLY	Lewis, Eddie		
Rodas, Jorge	San Jose Earthquakes	San Jose Earthquakes	UNAM - Mexico	6/12/1996	66		FDLY			
Fry	Seattle Sounders	Vissel Kobe - Japan	Seattle Sounders	5/10/1996	68		FDLY	Daligcon		
Fry	Seattle Sounders	Vissel Kobe - Japan	Seattle Sounders	5/10/1996	82		FDLY			
Henderson, Chris	San Jose Earthquakes	Sichuan Quanxing - China	San Jose Earthquakes	10/30/1996	4		FDLY			
Corrales, Ramiro	San Jose Earthquakes	Sichuan Quanxing - China	San Jose Earthquakes	10/30/1996	20		FDLY	Schuster, Bernd		
Bravo, Paul	San Jose Earthquakes	Sichuan Quanxing - China	San Jose Earthquakes	10/30/1996	59		FDLY	Schuster, Bernd		
Karapetyan, Harut	Los Angeles Galaxy	Los Angeles Galaxy	Necaxa - Mexico	8/14/1996	78		FDLY			
Vasquez, Jose	Los Angeles Galaxy	Los Angeles Galaxy	El Salvador	7/11/1996	21		FDLY	Jones, Cobi		
Magee, Amos	Minnesota Thunder	Gamba Osaka - Japan	Minnesota Thunder	2/21/1996	72		FDLY			
Sanneh, Tony	Minnesota Thunder	Gamba Osaka - Japan	Minnesota Thunder	2/21/1996	64		FDLY			
Lagos, Gerard	Minnesota Thunder	Gamba Osaka - Japan	Minnesota Thunder	2/21/1996	17		FDLY			
Lagos, Manny	Minnesota Thunder	Shimizu S-Pulse - Japan	Minnesota Thunder	2/18/1996	0		FDLY			
Armas, Chris	Los Angeles Galaxy	Los Angeles Galaxy	Deportivo Cali - Colombia	10/27/1996	82		FDLY	Jara, Guillermo		
Karapetyan, Harut	Los Angeles Galaxy	Los Angeles Galaxy	Deportivo Cali - Colombia	10/27/1996	80		FDLY	Onalfo, Curt		
Savarese, Giovanni	MetroStars	Genoa - Italy	MetroStars	2/20/1997	70		FDLY			
Olalere	New England Revolution	New England Revolution	Viborg - Denmark	2/22/1997	81		FDLY	Klein, Steve		
Unknown	DC United	Grampus Eight - Japan	DC United	3/2/1997	35	Own Goal	FDLY			
Renato	MetroStars	Reggiana - Italy	MetroStars	3/5/1997	23		FDLY	Guido		
Rammel, Steve	DC United	Instant Dict - Japan	DC United	3/9/1997	84		FDLY			
Rammel, Steve	DC United	Instant Dict - Japan	DC United	3/9/1997	73		FDLY			
Unknown	DC United	Instant Dict - Japan	DC United	3/9/1997	52	Own Goal	FDLY			
Moreno, Jaime	DC United	Instant Dict - Japan	DC United	3/9/1997	50		FDLY			
Moreno, Jaime	DC United	Instant Dict - Japan	DC United	3/9/1997	36		FDLY			
Sanneh, Tony	DC United	Instant Dict - Japan	DC United	3/9/1997	88		FDLY			
Moreno, Jaime	DC United	Instant Dict - Japan	DC United	3/9/1997	7		FDLY			
Medved, Shawn	San Jose Earthquakes	San Jose Earthquakes	Aston Villa - England	5/13/1997	45		FDLY	Kinnear, Dominic		
Warzycha, Robert	Columbus Crew	Columbus Crew	Leeds United - England	5/14/1997	37		FDLY			
Carrera, Marcelo	Columbus Crew	Columbus Crew	Leeds United - England	5/14/1997	44		FDLY	Rudman, Silvo		
Sanneh, Tony	DC United	DC United	Leeds United - England	5/16/1997	89		FDLY	Maessner, John		
De Avila, Antony	MetroStars	MetroStars	Sampdoria - Italy	6/7/1997	33		FDLY	Wood, AJ		
Bartlett	MetroStars	MetroStars	Galatasaray - Turkey	7/16/1997	26		FDLY	Ramos, Tab		
Preki	Kansas City Wizards	Kansas City Wizards	Veracruz - Mexico	9/16/1997	24		FDLY	Johnston, Mo		
Welton	San Jose Earthquakes	San Jose Earthquakes	Atlas - Mexico	11/7/1997	67		FDLY			
Vasquez, Jose	Los Angeles Galaxy	Los Angeles Galaxy	Atlante - Mexico	11/12/1997	58		FDLY	Armas, Chris		
