Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Vancouver 86ers	Aunger, Geoff	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Andracki, Bill	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Doyle, John	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Martin, Tim	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Gambatese, Tag	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Murray, Bruce	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Huwiler, Mike	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Solberg, Cato	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Araujo, Michael	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Steenkamp, Lenin	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Soebye, Staale	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Suri, Moise	0	0	90	N	N	N	0		0	0	0	
LGE	5/5/1995	Vancouver 86ers	Atlanta Ruckus	Atlanta Ruckus	Wurdack, Tom	0	0	0	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Seattle Sounders	Webber, Wade	0	0	90	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Seattle Sounders	McCormick, Dick	0	0	90	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Seattle Sounders	Hoggan, David	0	0	90	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Colorado Foxes	Dodd, Mark	0	0	90	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Colorado Foxes	Fraser, Robin	0	0	90	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Colorado Foxes	McCreath, Anthony	0	0	90	N	N	N	0		0	0	0	
LGE	5/6/1995	Seattle Sounders	Colorado Foxes	Colorado Foxes	Eck, Ted	0	0	90	N	N	N	0		0	0	0	
