Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Littman, Mike	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Saunders, Shawn	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	McDonnell, Paul	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Lak, Peter	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Wilson, Brad	0	0	16	N	N	N	0	Papandrea, Norberto	0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Vasquez-Martinez, Jose	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Hesse, Ken	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Guthrie, Rivers	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Patterson, Steve	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Polowski, PJ	0	0	52	N	N	N	0	Provan, Jake	0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Soto, Eddie	0	0	66	N	N	N	0	Albright, Chris	0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Foster, Mark	0	16	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Leal, Gustavo	0	52	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	Orange County Zodiac	Engesser, Brian	0	66	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Rueda, Kevin	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Brown, PJ	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	N'Doumbe, Michael	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Munro, Jamie	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Legg, Kevin	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Alegre-Ramirez, Mauricio	0	0	74	N	N	N	0	Ross, Quinn	0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Farias, Carlos	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Hetherington, Nate	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Chaisongkram, Eric	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Robles, Antonio	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Dumitru, Mugurel	0	0	74	N	N	N	0	Eastman, Gabe	0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Hirad, Morteza	0	74	90	N	N	N	0		0	0	0	
LGE	4/9/1999	Orange County Zodiac	San Diego Flash	San Diego Flash	Adair, Charles	0	74	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Rueda, Kevin	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Brown, PJ	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	N'Doumbe, Michael	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Munro, Jamie	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Legg, Kevin	0	0	66	N	N	N	0	Ross, Quinn	0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Alegre-Ramirez, Mauricio	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Farias, Carlos	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Hetherington, Nate	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Chaisongkram, Eric	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Robles, Antonio	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Dumitru, Mugurel	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	San Diego Flash	Adair, Charles	0	66	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Abdalla, Dan	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Saunders, Shawn	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	McDonnell, Paul	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Lak, Peter	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Vasquez-Martinez, Jose	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Hesse, Ken	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Foster, Mark	0	0	28	N	N	N	0	Albright, Chris	0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Guthrie, Rivers	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Patterson, Steve	0	0	90	N	N	N	0		0	0	0	
LGE	4/10/1999	San Diego Flash	Orange County Zodiac	Orange County Zodiac	Polowski, PJ	0	0	90	N	N	N	0		0	0	0	
