Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Casey, Sam	0	0	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Daka, Taurai (Patrick)	0	0	65	N	N	N	0	Spencer, Matthew (Ross)	0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Lemons, Christopher	0	0	90	Y	N	N	42		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Ruud, Adam	0	0	45	N	N	N	0	Kabwe, Joseph	0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Faro, Aaron	0	0	56	N	N	N	0	Johnson, Benjamin	0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Rife, Josh	0	0	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Roberts, William Clayton	0	0	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Schroeder, Greg	0	0	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Coggins, Jacob	0	0	89	N	N	N	0	Arias, Jordan	0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Swinehart, Dustin	0	0	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	McClellan, Chris	0	0	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Arias, Jordan	0	89	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Kabwe, Joseph	0	45	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Spencer, Matthew (Ross)	0	65	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Dinunzio, Ryan	0	0	0	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Johnson, Benjamin	0	56	90	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Harvey, Daniel	0	0	0	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Charlotte Eagles	Mottern, Bruce	0	0	0	N	N	N	0		0	0	0	
LGE	4/21/2006	Charlotte Eagles	Cincinnati Kings	Cincinnati Kings	Hughes, Jeffrey	0	0	90	N	N	N	0		0	0	0	
