Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Hudock, Dusty	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Adair, Chugger	0	0	90	Y	N	N	61		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Aunger, Geoff	0	0	59	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Gailey, Mike	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Gelvezon	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	James, Bernie	0	0	45	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Jenkins, Scott	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Kinoshita, Kei	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	McNeil, Brian	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Megson, Neil	0	0	45	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Watson, Mark	0	0	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Barton, Kieran	0	45	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Crothers, Derek	0	45	90	N	N	N	0		0	0	0	
CCC	6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	Seattle Sounders	Enneking, Mike	0	59	90	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Hartman, Kevin	0	0	90	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Calichman, Dan	0	0	90	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Caligiuri, Paul	0	0	90	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Lak, Peter	0	0	90	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Pena, Danny	0	0	70	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Vanney, Greg	0	0	90	N	N	N	0		0	0	0	
INDC	7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	Los Angeles Galaxy	Armas, Chris	0	0	90	N	N	N	0		0	0	0	
