1	Leo Cullen (D)	Miami Fusion
2	Ritchie Kotschau (D)	Chicago Fire
3	Ben Parry (D)	San Jose Clash
4	Chris Klein (M)	Kansas City Wizards
5	Johnny Torres (M)	New England Revolution
6	Clint Mathis (M)	Los Angeles Galaxy
7	Josh Keller (M)	Tampa Bay Mutiny
8	Mike Petke (D)	MetroStars
9	Jeff Cunningham (F)	Columbus Crew
10	Matt Jordan (GK)	Dallas Burn
11	Tyrone Marshall (F)	Colorado Rapids
12	Wade Barrett (M)	San Jose Clash
13	Pablo Mastroeni (M)	Miami Fusion
14	Carey Talley (M)	D.C. United
15	Joe Munoz (F)	MetroStars
16	Billy Walsh (M)	MetroStars
17	Jesse Van Saun (F)	New England Revolution
18	Daniel Hernandez (M)	Los Angeles Galaxy
19	Chris Houser (D)	Tampa Bay Mutiny
20	Tom Hardy (D)	Kansas City Wizards
21	Andrew Gregor (M)	Columbus Crew
22	Hans Wittusen (D)	Dallas Burn
23	Jason Boyce (F)	Colorado Rapids
24	Henrik Nebrilius (F)	Columbus Crew
25	Matt Caution (F)	Dallas Burn
26	Matt Reis (GK)	Los Angeles Galaxy
27	Caleb Porter (M)	San Jose Clash
28	Cesidio Colasante (F)	MetroStars
29	Kevin Coye (D)	New England Revolution
30	Joe Franchino (D)	Los Angeles Galaxy
31	Bill May (GK)	Tampa Bay Mutiny
32	Mario Sanchez (M)	Kansas City Wizards
33	Nick Thesloff (M)	Columbus Crew
34	R.T. Moore (D)	Tampa Bay Mutiny
35	P.J. Brown (D)	Colorado Rapids
36	Tom McLaughlin (F)	New England Revolution
