1	Brian McBride (F)	Columbus Crew
2	Jean Harbor (F)	Colorado Rapids
3	Ted Eck (M)	Dallas Burn
4	Robin Fraser (D)	Los Angeles Galaxy
5	Iain Fraser (D)	New England Revolution
6	Mark Chung (M)	Kansas City Wiz
7	Mark Dougherty (GK)	Tampa Bay Mutiny
8	Paul Bravo (M)	San Jose Clash
9	Matt Knowles (D)	New York/New Jersey MetroStars
10	Raul Diaz Arce (F)	D.C. United
11	Mark Watson (D)	Columbus Crew
12	Denis Hamlett (D)	Colorado Rapids
13	Tom Soehn (D)	Dallas Burn
14	David Kramer (GK)	Los Angeles Galaxy
15	Peter Woodring (D)	New England Revolution
16	Peter Isaacs (F)	Kansas City Wiz
17	Peter Hattrup (M)	Tampa Bay Mutiny
18	Altimont Butler (M)	San Jose Clash
19	Troy Dayak (D)	New York/New Jersey MetroStars
20	Shawn Medved (M)	D.C. United
21	Billy Thompson (F)	Columbus Crew
22	Steve Trittschuh (D)	Colorado Rapids
23	Lawrence Lozzano (D)	Dallas Burn
24	Jorge Salcedo (M)	Los Angeles Galaxy
25	Bujon Vuckovic (F)	New England Revolution
26	Sean Bowers (D)	Kansas City Wiz
27	John Diffley (D)	Tampa Bay Mutiny
28	Tim Martin (D)	San Jose Clash
29	Peter Vermes (F)	New York/New Jersey MetroStars
30	Erik Imler (D)	D.C. United
31	Mike Clark (D)	Columbus Crew
32	Brian Bates (D)	Colorado Rapids
33	Brian Haynes (M)	Dallas Burn
34	John Garvey (F)	Los Angeles Galaxy
35	Marquis White (F)	New England Revolution
36	Eric Eichmann (F)	Kansas City Wiz
37	Ivan McKinley (M)	Tampa Bay Mutiny
38	Rhett Harty (D)	San Jose Clash
39	Jeff Zaun (D)	New York/New Jersey MetroStars
40	Richie Williams (M)	D.C. United
41	Bo Oshoniyi (GK)	Columbus Crew
42	Troy Edwards (D)	Colorado Rapids
43	Jason Kreis (F)	Dallas Burn
44	Mark Semioli (D)	Los Angeles Galaxy
45	Ted Chronopoulos (D)	New England Revolution
46	Jeff Causey (GK)	Kansas City Wiz
47	Diego Viera (F)	Tampa Bay Mutiny
48	Paul Holocher (M)	San Jose Clash
49	A.J. Wood (F)	New York/New Jersey MetroStars
50	Thor Lee (D)	D.C. United
51	Brandon Ward (M)	Columbus Crew
52	Scott Cannon (D)	Colorado Rapids
53	Mark Dodd (GK)	Dallas Burn
54	Joey Kirk (F)	Los Angeles Galaxy
55	Yari Allnutt (F)	New England Revolution
56	Tommy Reasoner (M)	Kansas City Wiz
57	Frank Yallop (D)	Tampa Bay Mutiny
58	Jeff Baicher (F)	San Jose Clash
59	Ted Gillen (M)	New York/New Jersey MetroStars
