1	Marvell Wynne	MetroStars
2	Mehdi Ballouchy	Real Salt Lake
3	Jason Garey	Columbus Crew
4	Yura Movsisyan	Kansas City Wizards
5	Sacha Kljestan	Chivas USA
6	Dax McCarty	FC Dallas
7	Justin Moose	D.C. United
8	Patrick Ianni	Houston Dynamo
9	Kei Kamara	Columbus Crew
10	Calen Carr	Chicago Fire
11	Leandro de Oliveira	New England Revolution
12	Nathan Sturgis	Los Angeles Galaxy
13	Jed Zayner	Columbus Crew
14	Jeff Curtin	Chicago Fire
15	Justin Moore	FC Dallas
16	Lance Watson	Kansas City Wizards
17	Jozy Altidore	MetroStars
18	Blake Wagner	FC Dallas
19	Tyson Wahl	Kansas City Wizards
20	Brian Plotkin	Chicago Fire
21	Jacob Peterson	Colorado Rapids
22	Dominic Oduro	FC Dallas
23	Willie Sims	New England Revolution
24	Marc Burch	Los Angeles Galaxy
25	Kyle Veris	Los Angeles Galaxy
26	Ryan Johnson	Real Salt Lake
27	Brandon Moss	Columbus Crew
28	Matt Groenwald	Kansas City Wizards
29	Stephen Shirley	Kansas City Wizards
30	Ray Burse	FC Dallas
31	Rod Dyachenko	D.C. United
32	Andre Schmid	Houston Dynamo
33	Dayton O'Brien	Columbus Crew
34	Jordan Russolillo	Chicago Fire
35	Kyle Brown	New England Revolution
36	Chris Dunsheath	Los Angeles Galaxy
37	Jonathan Bornstein	Chivas USA
38	Duke Hashimoto	Columbus Crew
39	Jeff Carroll	D.C. United
40	Eric Kronberg	Kansas City Wizards
41	Blake Camp	MetroStars
42	Michael Dello-Russo	FC Dallas
43	Mike Ambersley	FC Dallas
44	Mike Chabala	Houston Dynamo
45	Josh Brown	Colorado Rapids
46	Jeremy Ashe	Chicago Fire
47	Kenney Bertz	D.C. United
48	Aaron King	Los Angeles Galaxy
