1	Drew Helm	Chivas USA
2	Jeff Rowland	Real Salt Lake
3	Andy Gruenebaum	Columbus Crew
4	Anthony Noriega	Kansas City Wizards
5	Joe Vide	MetroStars
6	Christopher Joyce	FC Dallas
7	Mpho Moloi	Houston 1836
8	Miguel Guante	FC Dallas
9	Jordan Harvey	Colorado Rapids
10	Floyd Franks	Chicago Fire
11	Danny Wynn	New England Revolution
12	Trevor McEachron	Los Angeles Galaxy
13	Darren Spicer	Chivas USA
14	Willis Forko	Real Salt Lake
15	David Chun	Columbus Crew
16	Ryan McMahen	Kansas City Wizards
17	Peter Dzubay	MetroStars
18	Brad Napper	FC Dallas
19	Andy Metcalf	D.C. United
20	Hector Guzman	Houston 1836
21	Liam Girrard	Colorado Rapids
22	Dasan Robinson	Chicago Fire
23	John Queeley	New England Revolution
24	Daniel Paladini	Los Angeles Galaxy
25	Lawson Vaughn	Chivas USA
26	Chase Harrison	Real Salt Lake
27	Ivan Becerra	Columbus Crew
28	Corey Farabi	Kansas City Wizards
29	Brian Cvilikas	MetroStars
30	Sean Babcock	FC Dallas
31	Brian Devlin	MetroStars
32	Tony Donatelli	Houston 1836
33	Keith Cauldwell	Colorado Rapids
34	Ezra Prendergast	Chicago Fire
35	Adam Williamson	New England Revolution
36	Armando Melendez	Los Angeles Galaxy
37	Josh Fender	Houston 1836
38	Daniel Wasson	Colorado Rapids
39	Peter Louis	FC Dallas
40	Chris Hamberger	Kansas City Wizards
41	Chris Lancos	Real Salt Lake
42	Idris Ughiovhe	Chicago Fire
43	Devon McTavish	D.C. United
44	PASS	Houston 1836
45	Luke Enna	Kansas City Wizards
46	Richard Mupfudze	Chicago Fire
47	Matt Wieland	New England Revolution
48	Matt Couch	Los Angeles Galaxy
