Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/2/1998	New Orleans Storm	Nashville Metros	0	1	2,090	League Game	LGE		Barnes, Andrew	As Scored	0	0	
4/4/1998	New Orleans Storm	Albuquerque Geckos	4	1	2,539	League Game	LGE		Sill, Roger	As Scored	0	0	
4/4/1998	San Francisco Bay Seals	California Jaguars	1	0	551	League Game	LGE		Valenzuela, Ricardo	As Scored	0	0	
4/10/1998	California Jaguars	El Paso Patriots	2	5	3,221	League Game	LGE		Weyland, Tim	As Scored	0	0	
4/11/1998	Charleston Battery	Raleigh Flyers	0	1	2,160	League Game	LGE		Wilson, Jon E	As Scored	0	0	
4/11/1998	Jacksonville Cyclones	Nashville Metros	1	4	1,348	League Game	LGE		Rutty, Reggie	As Scored	0	0	
4/11/1998	San Francisco Bay Seals	El Paso Patriots	2	0	349	League Game	LGE		Hunt, Sandra	As Scored	0	0	
4/15/1998	Orange County Zodiac	Seattle Sounders	0	1	587	League Game	LGE		Elliott, Bryan	As Scored	0	0	
4/17/1998	Atlanta Ruckus	Charleston Battery	1	6	650	League Game	LGE		Sill, Roger	As Scored	0	0	
4/17/1998	California Jaguars	Vancouver 86ers	2	1	1,575	League Game	LGE		Strickland, Chris	As Scored	0	0	
4/17/1998	San Diego Flash	Seattle Sounders	0	2	5,103	League Game	LGE			As Scored	0	0	
4/18/1998	Atlanta Ruckus	Jacksonville Cyclones	2	1	850	League Game	LGE			As Scored	0	0	
4/18/1998	Cincinnati Riverhawks	New Orleans Storm	1	3	3,121	League Game	LGE			As Scored	0	0	
4/18/1998	El Paso Patriots	Albuquerque Geckos	1	0	6,400	League Game	LGE			As Scored	0	0	
4/18/1998	Raleigh Flyers	Richmond Kickers	1	1	563	League Game	LGE			As Scored	0	0	
4/19/1998	California Jaguars	Seattle Sounders	3	2	1,023	League Game	LGE			As Scored	0	0	
4/19/1998	San Francisco Bay Seals	Vancouver 86ers	0	2	235	League Game	LGE			As Scored	0	0	
4/23/1998	El Paso Patriots	US Pro 40	2	2	3,240	League Game	LGE			As Scored	0	0	
4/24/1998	Jacksonville Cyclones	Richmond Kickers	1	0	1,320	League Game	LGE			As Scored	0	0	
4/24/1998	Nashville Metros	Milwaukee Rampage	1	2	1,028	League Game	LGE			As Scored	0	0	
4/24/1998	San Diego Flash	Long Island Rough Riders	3	0	3,804	League Game	LGE			As Scored	0	0	
4/24/1998	San Francisco Bay Seals	Minnesota Thunder	0	0	380	League Game	LGE			As Scored	0	0	
4/24/1998	Vancouver 86ers	Seattle Sounders	2	1	6,039	League Game	LGE			As Scored	0	0	
4/25/1998	Albuquerque Geckos	US Pro 40	0	1	3,208	League Game	LGE			As Scored	0	0	
4/25/1998	Atlanta Ruckus	Hershey Wildcats	0	1	1,317	League Game	LGE			As Scored	0	0	
4/25/1998	California Jaguars	Minnesota Thunder	2	1	1,225	League Game	LGE			As Scored	0	0	
4/25/1998	Connecticut Wolves	Worcester Wildfire	0	0	1,876	League Game	LGE			As Scored	0	0	
4/25/1998	Orange County Zodiac	Long Island Rough Riders	1	0	752	League Game	LGE			As Scored	0	0	
4/25/1998	Raleigh Flyers	Hampton Rds Mariners	0	1	850	League Game	LGE			As Scored	0	0	
4/26/1998	Charleston Battery	Richmond Kickers	1	1	2,021	League Game	LGE			As Scored	0	0	
4/26/1998	Cincinnati Riverhawks	Milwaukee Rampage	2	5	824	League Game	LGE			As Scored	0	0	
4/29/1998	Orange County Zodiac	Minnesota Thunder	2	1	242	League Game	LGE			As Scored	0	0	
5/1/1998	Albuquerque Geckos	Worcester Wildfire	2	3	1,127	League Game	LGE			As Scored	0	0	
5/1/1998	California Jaguars	US Pro 40	1	2	900	League Game	LGE			As Scored	0	0	
5/1/1998	Nashville Metros	Atlanta Ruckus	3	1	502	League Game	LGE			As Scored	0	0	
5/1/1998	Orange County Zodiac	Cincinnati Riverhawks	5	1	417	League Game	LGE			As Scored	0	0	
5/1/1998	Richmond Kickers	Hampton Rds Mariners	1	1	2,312	League Game	LGE			As Scored	0	0	
5/1/1998	San Francisco Bay Seals	Hershey Wildcats	0	3	350	League Game	LGE			As Scored	0	0	
5/2/1998	Atlanta Ruckus	Staten Island Vipers	3	2	827	League Game	LGE			As Scored	0	0	
5/2/1998	Charleston Battery	Jacksonville Cyclones	0	0	1,920	League Game	LGE			As Scored	0	0	
5/2/1998	El Paso Patriots	Worcester Wildfire	3	2	4,250	League Game	LGE			As Scored	0	0	
5/2/1998	Long Island Rough Riders	Toronto Lynx	1	0	3,028	League Game	LGE			As Scored	0	0	
5/2/1998	New Orleans Storm	Minnesota Thunder	1	2	544	League Game	LGE			As Scored	0	0	
5/2/1998	Raleigh Flyers	Rochester Rhinos	1	2	853	League Game	LGE			As Scored	0	0	
5/2/1998	San Diego Flash	Cincinnati Riverhawks	0	1	3,879	League Game	LGE			As Scored	0	0	
5/2/1998	Seattle Sounders	Vancouver 86ers	0	1	4,126	League Game	LGE			As Scored	0	0	
5/3/1998	California Jaguars	Hershey Wildcats	1	2	1,100	League Game	LGE			As Scored	0	0	
5/3/1998	San Francisco Bay Seals	US Pro 40	3	2	368	League Game	LGE			As Scored	0	0	
5/6/1998	Staten Island Vipers	US Pro 40	1	3	421	League Game	LGE			As Scored	0	0	
5/6/1998	Vancouver 86ers	San Diego Flash	2	3	3,751	League Game	LGE			As Scored	0	0	
5/8/1998	Atlanta Ruckus	Hampton Rds Mariners	1	2	807	League Game	LGE			As Scored	0	0	
5/8/1998	Charleston Battery	Rochester Rhinos	0	3	1,848	League Game	LGE			As Scored	0	0	
5/8/1998	Cincinnati Riverhawks	New Orleans Storm	3	1	782	League Game	LGE			As Scored	0	0	
5/8/1998	Richmond Kickers	Hershey Wildcats	1	0	1,023	League Game	LGE			As Scored	0	0	
5/8/1998	Seattle Sounders	Orange County Zodiac	1	2	2,414	League Game	LGE			As Scored	0	0	
5/8/1998	Worcester Wildfire	Toronto Lynx	3	1	684	League Game	LGE			As Scored	0	0	
5/9/1998	California Jaguars	San Francisco Bay Seals	2	0	1,100	League Game	LGE			As Scored	0	0	
