Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/21/2006	Charlotte Eagles	Cincinnati Kings	1	0	1,523	League Game	LGE			As Scored	0	0	
4/21/2006	Puerto Rico Islanders	Atlanta Silverbacks	3	1	7,044	League Game	LGE			As Scored	0	0	
4/22/2006	Vancouver Whitecaps	Portland Timbers	1	0	5,722	League Game	LGE			As Scored	0	0	
4/22/2006	Virginia Beach Mariners	Toronto Lynx	2	0	2,044	League Game	LGE			As Scored	0	0	
4/23/2006	Miami FC	Montreal Impact	0	0	3,243	League Game	LGE			As Scored	0	0	
4/23/2006	Minnesota Thunder	Seattle Sounders	4	0	4,811	League Game	LGE			As Scored	0	0	
4/23/2006	Puerto Rico Islanders	Atlanta Silverbacks	1	1	5,182	League Game	LGE			As Scored	0	0	
4/23/2006	Richmond Kickers	Cincinnati Kings	0	1	1,327	League Game	LGE			As Scored	0	0	
4/28/2006	Charlotte Eagles	Western Mass Pioneers	0	0	1,051	League Game	LGE			As Scored	0	0	
4/29/2006	Charleston Battery	Virginia Beach Mariners	3	0	4,265	League Game	LGE			As Scored	0	0	
4/29/2006	Fresno Fuego	San Diego Gauchos	5	2	463	League Game	LGE			As Scored	0	0	
4/29/2006	Harrisburg City Islanders	Cincinnati Kings	0	2	3,189	League Game	LGE			As Scored	0	0	
4/29/2006	Laredo Heat	Austin Lighting	4	3	100	League Game	LGE			As Scored	0	0	
4/29/2006	Long Island Rough Riders	New Hampshire Phantoms	0	1	1,725	League Game	LGE			As Scored	0	0	
4/29/2006	Vancouver Whitecaps	Toronto Lynx	2	0	4,555	League Game	LGE			As Scored	0	0	
4/29/2006	Wilmington Hammerheads	Western Mass Pioneers	0	1	4,132	League Game	LGE			As Scored	0	0	
4/30/2006	Puerto Rico Islanders	Montreal Impact	0	1	4,816	League Game	LGE			As Scored	0	0	
5/5/2006	Carolina Dynamo	Nashville Metros	6	1	1,104	League Game	LGE			As Scored	0	0	
5/5/2006	Charlotte Eagles	Wilmington Hammerheads	1	1	813	League Game	LGE			As Scored	0	0	
5/5/2006	Cincinnati Kings	Western Mass Pioneers	1	0	1,247	League Game	LGE			As Scored	0	0	
5/5/2006	Miami FC	Rochester Rhinos	0	3	3,341	League Game	LGE			As Scored	0	0	
5/5/2006	Orange County Blue Star	California Gold	3	1	102	League Game	LGE			As Scored	0	0	
5/5/2006	Pittsburgh Riverhounds	Harrisburg City Islanders	2	2	3,111	League Game	LGE			As Scored	0	0	
5/5/2006	Portland Timbers	Vancouver Whitecaps	1	1	5,448	League Game	LGE			As Scored	0	0	
5/5/2006	Virginia Beach Mariners	Atlanta Silverbacks	1	0	2,387	League Game	LGE			As Scored	0	0	
5/6/2006	Ajax Orlando Prospects	Bradenton Academics	2	3	59	League Game	LGE			As Scored	0	0	
5/6/2006	Carolina Dynamo	Atlanta Silverbacks U-23's	1	0	2,745	League Game	LGE			As Scored	0	0	
5/6/2006	Central Florida Kraze	Palm Beach Pumas	0	1	150	League Game	LGE			As Scored	0	0	
5/6/2006	Fresno Fuego	San Francisco Seals	2	3	100	League Game	LGE			As Scored	0	0	
5/6/2006	Laredo Heat	New Orleans Shell Shockers	4	2	738	League Game	LGE			As Scored	0	0	
5/6/2006	Pittsburgh Riverhounds	Western Mass Pioneers	2	1	2,307	League Game	LGE			As Scored	0	0	
5/6/2006	Portland Timbers	Minnesota Thunder	2	1	4,449	League Game	LGE			As Scored	0	0	
5/6/2006	Raleigh CASL Elite	Nashville Metros	0	0	234	League Game	LGE			As Scored	0	0	
5/6/2006	Richmond Kickers	Long Island Rough Riders	5	0	1,919	League Game	LGE			As Scored	0	0	
5/6/2006	San Fernando Quakes	Los Angeles Storm	1	1	400	League Game	LGE			As Scored	0	0	
5/6/2006	Southern California Seahorses	California Gold	4	0	263	League Game	LGE			As Scored	0	0	
5/6/2006	Westchester Flames	Rhode Island Stingrays	3	1	225	League Game	LGE			As Scored	0	0	
5/6/2006	Yakima Reds	Cascade Surge	2	1	425	League Game	LGE			As Scored	0	0	
5/7/2006	Charleston Battery	Miami FC	1	1	2,631	League Game	LGE			As Scored	0	0	
5/7/2006	Puerto Rico Islanders	Rochester Rhinos	0	1	5,125	League Game	LGE			As Scored	0	0	
5/7/2006	San Diego Gauchos	Bakersfield Brigade	1	3	100	League Game	LGE			As Scored	0	0	
5/9/2006	Ajax Orlando Prospects	Central Florida Kraze	0	1	100	League Game	LGE			As Scored	0	0	
5/11/2006	Bradenton Academics	Carolina Dynamo	2	3	175	League Game	LGE			As Scored	0	0	
5/12/2006	Albany Admirals	Virginia Beach Submariners	1	3	75	League Game	LGE			As Scored	0	0	
5/12/2006	Austin Lighting	DFW Tornados	3	2	119	League Game	LGE			As Scored	0	0	
5/12/2006	Charlotte Eagles	Richmond Kickers	2	4	1,472	League Game	LGE			As Scored	0	0	
5/12/2006	El Paso Patriots	New Orleans Shell Shockers	2	0	630	League Game	LGE			As Scored	0	0	
5/12/2006	Los Angeles Storm	Fresno Fuego	4	0	875	League Game	LGE			As Scored	0	0	
5/12/2006	Miami FC	Portland Timbers	3	2	2,433	League Game	LGE			As Scored	0	0	
5/12/2006	Reading Rage	Williamsburg Legacy	0	2	272	League Game	LGE			As Scored	0	0	
5/12/2006	Tacoma FC	Abbotsford Rangers	0	0	96	League Game	LGE			As Scored	0	0	
5/13/2006	Brooklyn Knights	Rhode Island Stingrays	0	1	235	League Game	LGE	att. 235		As Scored	0	0	
5/13/2006	Central Florida Kraze	Carolina Dynamo	0	2	100	League Game	LGE			As Scored	0	0	
5/13/2006	Charleston Battery	Montreal Impact	3	1	3,124	League Game	LGE			As Scored	0	0	
5/13/2006	Cincinnati Kings	Pittsburgh Riverhounds	0	0	1,139	League Game	LGE			As Scored	0	0	
