Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
3/25/2010	Seattle Sounders	Philadephia Union	2	0	36,241	League Game	LGE		Salazar, Ricardo	As Scored	0	0	
3/26/2010	CD Chivas USA	Colorado Rapids	0	1	18,653	League Game	LGE		Kennedy, Michael	As Scored	0	0	
3/27/2010	Columbus Crew	Toronto FC	2	0	13,536	League Game	LGE			As Scored	0	0	
3/27/2010	FC Dallas 96	Houston Dynamo	1	1	8,016	League Game	LGE			As Scored	0	0	
3/27/2010	Kansas City Wizards	D.C. United	4	0	10,385	League Game	LGE		Stott, Kevin	As Scored	0	0	
3/27/2010	Los Angeles Galaxy	New England Revolution	1	0	21,376	League Game	LGE			As Scored	0	0	
3/27/2010	New York Red Bulls	Chicago Fire	1	0	24,572	League Game	LGE			As Scored	0	0	
3/27/2010	San Jose Earthquakes	Real Salt Lake	0	3	10,589	League Game	LGE			As Scored	0	0	
4/1/2010	Houston Dynamo	Real Salt Lake	2	1	18,197	League Game	LGE			As Scored	0	0	
4/1/2010	Los Angeles Galaxy	CD Chivas USA	2	0	19,805	League Game	LGE			As Scored	0	0	
4/3/2010	Colorado Rapids	Chicago Fire	2	2	11,641	League Game	LGE			As Scored	0	0	
4/3/2010	D.C. United	New England Revolution	0	2	20,664	League Game	LGE			As Scored	0	0	
4/3/2010	Seattle Sounders	New York Red Bulls	0	1	36,066	League Game	LGE			As Scored	0	0	
4/10/2010	Carolina RailHawks	AC St. Louis	2	0	2,013	League Game	LGE			As Scored	0	0	
4/10/2010	CD Chivas USA	New York Red Bulls	2	0	12,597	League Game	LGE			As Scored	0	0	
4/10/2010	Chicago Fire	San Jose Earthquakes	1	2	20,276	League Game	LGE			As Scored	0	0	
4/10/2010	FC Dallas 96	Columbus Crew	2	2	10,556	League Game	LGE			As Scored	0	0	
4/10/2010	Houston Dynamo	Los Angeles Galaxy	0	2	16,459	League Game	LGE			As Scored	0	0	
4/10/2010	Kansas City Wizards	Colorado Rapids	1	0	10,228	League Game	LGE			As Scored	0	0	
4/10/2010	Miami FC Blues	Rochester Rhinos	1	1	1,235	League Game	LGE			As Scored	0	0	
4/10/2010	New England Revolution	Toronto FC	4	1	12,798	League Game	LGE			As Scored	0	0	
4/10/2010	Philadephia Union	D.C. United	3	2	34,870	League Game	LGE			As Scored	0	0	
4/10/2010	Real Salt Lake	Seattle Sounders	2	2	19,970	League Game	LGE			As Scored	0	0	
4/11/2010	Austin Aztex	Montreal Impact	2	0	2,642	League Game	LGE			As Scored	0	0	
4/11/2010	Vancouver Whitecaps	NSC Minnesota Stars	2	0	4,934	League Game	LGE			As Scored	0	0	
4/15/2010	Toronto FC	Philadephia Union	2	1	21,978	League Game	LGE			As Scored	0	0	
4/16/2010	Carolina RailHawks	NSC Minnesota Stars	0	1	1,694	League Game	LGE			As Scored	0	0	
4/16/2010	Crystal Palace Baltimore	Tampa Bay Rowdies	0	1	1,029	League Game	LGE			As Scored	0	0	
4/17/2010	AC St. Louis	Austin Aztex	1	2	5,695	League Game	LGE			As Scored	0	0	
4/17/2010	Charlotte Eagles	Charleston Battery	2	3	910	League Game	LGE			As Scored	0	0	
4/17/2010	D.C. United	Chicago Fire	0	2	18,407	League Game	LGE			As Scored	0	0	
4/17/2010	Houston Dynamo	CD Chivas USA	3	0	14,843	League Game	LGE			As Scored	0	0	
4/17/2010	Los Angeles Galaxy	Real Salt Lake	2	1	20,344	League Game	LGE			As Scored	0	0	
4/17/2010	Miami FC Blues	Vancouver Whitecaps	0	0	100	League Game	LGE			As Scored	0	0	
4/17/2010	New York Red Bulls	FC Dallas 96	2	1	13,667	League Game	LGE			As Scored	0	0	
4/17/2010	Portland Timbers	Rochester Rhinos	1	0	15,418	League Game	LGE			As Scored	0	0	
4/17/2010	Real Maryland Monarchs	Pittsburgh Riverhounds	0	0	100	League Game	LGE			As Scored	0	0	
4/17/2010	Richmond Kickers	Harrisburg City Islanders	2	2	2,417	League Game	LGE			As Scored	0	0	
4/17/2010	San Jose Earthquakes	New England Revolution	2	0	9,082	League Game	LGE			As Scored	0	0	
4/17/2010	Seattle Sounders	Kansas City Wizards	1	0	35,924	League Game	LGE			As Scored	0	0	
4/18/2010	Colorado Rapids	Toronto FC	3	1	9,928	League Game	LGE			As Scored	0	0	
4/21/2010	Puerto Rico Islanders	NSC Minnesota Stars	3	1	2,248	League Game	LGE			As Scored	0	0	
4/22/2010	FC Dallas 96	Seattle Sounders	2	2	8,512	League Game	LGE			As Scored	0	0	
4/22/2010	Portland Timbers	AC St. Louis	3	0	5,893	League Game	LGE			As Scored	0	0	
4/24/2010	CD Chivas USA	San Jose Earthquakes	3	2	14,389	League Game	LGE			As Scored	0	0	
4/24/2010	Charleston Battery	Pittsburgh Riverhounds	0	0	4,221	League Game	LGE			As Scored	0	0	
4/24/2010	Chicago Fire	Houston Dynamo	2	0	11,312	League Game	LGE			As Scored	0	0	
4/24/2010	Columbus Crew	Real Salt Lake	1	0	14,322	League Game	LGE			As Scored	0	0	
4/24/2010	Crystal Palace Baltimore	Puerto Rico Islanders	1	3	1,071	League Game	LGE			As Scored	0	0	
4/24/2010	Fresno Fuego	Hollywood United Hitmen	0	3	100	League Game	LGE			As Scored	0	0	
4/24/2010	Harrisburg City Islanders	Real Maryland Monarchs	0	2	1,433	League Game	LGE			As Scored	0	0	
4/24/2010	Kansas City Wizards	Los Angeles Galaxy	0	0	10,045	League Game	LGE			As Scored	0	0	
4/24/2010	NSC Minnesota Stars	Tampa Bay Rowdies	1	0	2,310	League Game	LGE			As Scored	0	0	
4/24/2010	New England Revolution	Colorado Rapids	1	2	8,142	League Game	LGE			As Scored	0	0	
4/24/2010	New York Red Bulls	Philadephia Union	2	1	15,619	League Game	LGE			As Scored	0	0	
4/24/2010	Richmond Kickers	Charlotte Eagles	0	1	1,279	League Game	LGE			As Scored	0	0	
4/24/2010	Vancouver Whitecaps	AC St. Louis	1	0	4,815	League Game	LGE			As Scored	0	0	
4/25/2010	Montreal Impact	Portland Timbers	1	1	13,034	League Game	LGE			As Scored	0	0	
4/25/2010	Rochester Rhinos	Austin Aztex	2	1	2,819	League Game	LGE			As Scored	0	0	
4/25/2010	Toronto FC	Seattle Sounders	2	0	18,394	League Game	LGE			As Scored	0	0	
4/27/2010	Real Maryland Monarchs	Charleston Battery	0	1	100	League Game	LGE			As Scored	0	0	
4/28/2010	NSC Minnesota Stars	Rochester Rhinos	0	3	627	League Game	LGE			As Scored	0	0	
4/29/2010	Portland Timbers	Vancouver Whitecaps	2	1	5,808	League Game	LGE			As Scored	0	0	
4/30/2010	Laredo Heat	Rio Grande Valley Bravos	3	1	950	League Game	LGE			As Scored	0	0	
5/1/2010	AC St. Louis	Crystal Palace Baltimore	1	0	2,985	League Game	LGE			As Scored	0	0	
5/1/2010	Charleston Battery	Charlotte Eagles	2	1	3,008	League Game	LGE			As Scored	0	0	
5/1/2010	Chicago Fire	CD Chivas USA	1	1	13,224	League Game	LGE			As Scored	0	0	
5/1/2010	D.C. United	New York Red Bulls	0	2	12,089	League Game	LGE			As Scored	0	0	
5/1/2010	Hollywood United Hitmen	Southern California Seahorses	0	1	276	League Game	LGE			As Scored	0	0	
5/1/2010	Houston Dynamo	Kansas City Wizards	3	0	16,042	League Game	LGE			As Scored	0	0	
5/1/2010	Los Angeles Galaxy	Philadephia Union	3	1	15,453	League Game	LGE			As Scored	0	0	
5/1/2010	Miami FC Blues	Tampa Bay Rowdies	1	1	1,502	League Game	LGE			As Scored	0	0	
