Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
11/6/1991	Brooklyn Italians	CD Guadalajara -- Mexico	0	3	0	Recopa CONCACAF	RC			As Scored	0	0	
11/13/1991	CD Guadalajara -- Mexico	Brooklyn Italians	3	1	0	Recopa CONCACAF	RC			As Scored	0	0	
7/7/1993	San Jose Oaks	Monterrey - Mexico	1	4	0	Recopa CONCACAF	RC			As Scored	0	0	
7/14/1993	Monterrey - Mexico	San Jose Oaks	6	0	0	Recopa CONCACAF	RC			As Scored	0	0	
7/14/1994	CD Mexico	Necaxa -- Mexico	1	5	0	Recopa CONCACAF	RC			As Scored	0	0	
6/17/1997	Seattle Sounders	SV Transvaal -- Suriname	10	0	2,153	CONCACAF Champions Cup	CCC	Gelvezon, Crother, Barton 1A, Jenkins2A, Aunger3A		As Scored	0	0	
7/6/1997	Los Angeles Galaxy	CD Guadalajara -- Mexico	0	0	27,103	Independence Cup	INDC	Los Angeles wins 4-2 on PK's		Home Win	0	0	
7/15/1997	CSD Comunicaciones-- Guatemala	Seattle Sounders	2	0	25,000	CONCACAF Champions Cup	CCC			As Scored	0	0	
7/17/1997	Necaxa -- Mexico	Seattle Sounders	4	1	100	CONCACAF Champions Cup	CCC			As Scored	0	0	
7/20/1997	Cruz Azul -- Mexico	Seattle Sounders	11	0	100	CONCACAF Champions Cup	CCC			As Scored	0	0	
7/30/1997	Los Angeles Galaxy	Santos -- Mexico	4	1	10,271	CONCACAF Champions Cup	CCC			As Scored	0	0	
8/11/1997	DC United	United Petrotrin -- T & T	1	0	10,063	CONCACAF Champions Cup	CCC			As Scored	0	0	
8/12/1997	Luis Angel Firpo-- El Salvador	Los Angeles Galaxy	0	2	10,063	CONCACAF Champions Cup	CCC			As Scored	0	0	
8/22/1997	DC United	Los Angeles Galaxy	0	1	16,568	CONCACAF Champions Cup	CCC			As Scored	0	0	
8/24/1997	DC United	CD Guadalajara -- Mexico	2	2	8,282	CONCACAF Champions Cup	CCC			As Scored	0	0	
8/24/1997	Cruz Azul -- Mexico	Los Angeles Galaxy	5	3	8,282	CONCACAF Champions Cup	CCC			As Scored	0	0	
3/4/1998	Dallas Burn/FC Dallas 96	Necaxa -- Mexico	1	4	10,926	CONCACAF Cup Winners Cup	CCWC			As Scored	0	0	
