Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Fry, Chance	Seattle Sounders	Seattle Sounders	Vancouver 86ers	4/27/1996	30		LGE	Dunn, Jason		
Fry, Chance	Seattle Sounders	Seattle Sounders	Vancouver 86ers	4/27/1996	89		LGE	Megson, Neil		
Mobilio, Dominic	Vancouver 86ers	Seattle Sounders	Vancouver 86ers	4/27/1996	74		LGE	Kusch, Garrett		
Kelly, Danny	Rochester Rhinos	Rochester Rhinos	New York Fever	5/10/1996	0		LGE			
Fry, Chance	Seattle Sounders	Seattle Sounders	Colorado Foxes	5/11/1996	49	Penalty	LGE			
Dalicgon, Nate	Seattle Sounders	Seattle Sounders	Colorado Foxes	5/11/1996	75		LGE	Dunn, Jason		
Dunn, James	Colorado Foxes	Seattle Sounders	Colorado Foxes	5/11/1996	41	Own Goal	LGE			
Steenkamp, Lenin	Atlanta Ruckus	Atlanta Ruckus	Montreal Impact	5/17/1996	75		LGE	McIntosh, Franklin		
Berdusco, Eddie	Montreal Impact	Atlanta Ruckus	Montreal Impact	5/17/1996	30		LGE	Barker, Lloyd		
Needham, Grant	Montreal Impact	Atlanta Ruckus	Montreal Impact	5/17/1996	45		LGE			
Boyd, Walter	Colorado Foxes	Colorado Foxes	Seattle Sounders	5/17/1996	17		LGE	Harris, Wolde		
Harris, Wolde	Colorado Foxes	Colorado Foxes	Seattle Sounders	5/17/1996	73		LGE	Tadlock, Stoner		
Harris, Wolde	Colorado Foxes	Colorado Foxes	Seattle Sounders	5/17/1996	90		LGE	Siersbaek, Carsten		
McCormick, Dick	Seattle Sounders	Colorado Foxes	Seattle Sounders	5/17/1996	35		LGE	Fry, Chance		
Fry, Chance	Seattle Sounders	Colorado Foxes	Seattle Sounders	5/17/1996	41		LGE	Farrell, Jason		
Harris, Wolde	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	5/24/1996	36		LGE			
Siersbaek, Carsten	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	5/24/1996	49		LGE			
Hooker, Jeff	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	5/24/1996	51		LGE	Boyd, Walter		
Boyd, Walter	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	5/24/1996	70		LGE			
Fig, Henrik	Colorado Foxes	Colorado Foxes	Atlanta Ruckus	5/24/1996	84		LGE			
Steenkamp, Lenin	Atlanta Ruckus	Colorado Foxes	Atlanta Ruckus	5/24/1996	90		LGE			
DeSantis, Nick	Montreal Impact	Montreal Impact	New York Fever	5/24/1996	52		LGE	Barker, Lloyd		
Berdusco, Eddie	Montreal Impact	Montreal Impact	New York Fever	5/24/1996	84		LGE	Limniatis, John		
McCormick, Dick	Seattle Sounders	Vancouver 86ers	Seattle Sounders	5/25/1996	87		LGE	Farrell, Jason		
Fry, Chance	Seattle Sounders	Vancouver 86ers	Seattle Sounders	5/25/1996	90		LGE	Dunn, Jason		
Marinaro, Hector	Rochester Rhinos	Rochester Rhinos	Seattle Sounders	5/31/1996	58		LGE	Rivas, Rene		
Fry, Chance	Seattle Sounders	Rochester Rhinos	Seattle Sounders	5/31/1996	88		LGE	Webber, Wade		
McIntosh, Franklin	Atlanta Ruckus	Atlanta Ruckus	New York Fever	6/1/1996	37		LGE	D'Ambra, Don		
Faklaris, Chris	Atlanta Ruckus	Atlanta Ruckus	New York Fever	6/1/1996	52		LGE	McIntosh, Franklin		
Steenkamp, Lenin	Atlanta Ruckus	Atlanta Ruckus	New York Fever	6/1/1996	75		LGE			
Acosta, Jorge	New York Fever	Atlanta Ruckus	New York Fever	6/1/1996	19		LGE	Boulin, Luther		
Carter, Carlton	New York Fever	Atlanta Ruckus	New York Fever	6/1/1996	42		LGE	Szanto, Chris		
McCormick, Dick	Seattle Sounders	Montreal Impact	Seattle Sounders	6/2/1996	86		LGE	Fry, Chance		
Hooker, Jeff	Colorado Foxes	Vancouver 86ers	Colorado Foxes	6/2/1996	18		LGE	Siersbaek, Carsten		
Fig, Henrik	Colorado Foxes	Vancouver 86ers	Colorado Foxes	6/2/1996	67		LGE	Watson, Jerome		
