Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Evans, Brad	Seattle Sounders	Seattle Sounders	Philadephia Union	3/25/2010	12		LGE	Zakuani, Steve	Montero, Fredy	
Montero, Fredy	Seattle Sounders	Seattle Sounders	Philadephia Union	3/25/2010	43		LGE	Alonso, Osvaldo		
Cummings, Omar	Colorado Rapids	CD Chivas USA	Colorado Rapids	3/26/2010	55		LGE	Clark, Colin		
Kamara, Kei	Kansas City Wizards	Kansas City Wizards	D.C. United	3/27/2010	9		LGE			
Arnaud, David	Kansas City Wizards	Kansas City Wizards	D.C. United	3/27/2010	35		LGE	Auvray, Stephane	Smith, Ryan	
Smith, Ryan	Kansas City Wizards	Kansas City Wizards	D.C. United	3/27/2010	55		LGE			
Jewsbury, Jack	Kansas City Wizards	Kansas City Wizards	D.C. United	3/27/2010	70	Penalty	LGE			
Araujo Jr., Paulo	Miami FC Blues	Miami FC Blues	Rochester Rhinos	4/10/2010	48		LGE			
Heins, Ryan	Rochester Rhinos	Miami FC Blues	Rochester Rhinos	4/10/2010	22		LGE	Roselund, Tyler		
Barbara, Etienne	Carolina RailHawks	Carolina RailHawks	AC St. Louis	4/10/2010	4		LGE			
Barbara, Etienne	Carolina RailHawks	Carolina RailHawks	AC St. Louis	4/10/2010	25		LGE	Elenio, Cory		
Watson, Jamie	Austin Aztex	Austin Aztex	Montreal Impact	4/11/2010	77		LGE	Griffin, Leonard		
Olum, Lawrence	Austin Aztex	Austin Aztex	Montreal Impact	4/11/2010	18		LGE	Watson, Lance		
James, Marlon	Vancouver Whitecaps	Vancouver Whitecaps	NSC Minnesota Stars	4/11/2010	76		LGE	Khalfan, Nizar		
Bellisomo, Luca	Vancouver Whitecaps	Vancouver Whitecaps	NSC Minnesota Stars	4/11/2010	62		LGE	Nash, Martin		
Harris, Atiba	FC Dallas 96	FC Dallas 96	Houston Dynamo	3/27/2010	38		LGE	Ferreira, David Arturo		
Chabala, Mike	Houston Dynamo	FC Dallas 96	Houston Dynamo	3/27/2010	36		LGE	Oduro, Dominic	Davis, Brad	
Iro, Andy	Columbus Crew	Columbus Crew	Toronto FC	3/27/2010	29		LGE	Schelotto, Guillermo Barros		
Schelotto, Guillermo Barros	Columbus Crew	Columbus Crew	Toronto FC	3/27/2010	87		LGE			
Lindpere, Joel	New York Red Bulls	New York Red Bulls	Chicago Fire	3/27/2010	40		LGE			
Morales, Javier	Real Salt Lake	San Jose Earthquakes	Real Salt Lake	3/27/2010	54		LGE			
Morales, Javier	Real Salt Lake	San Jose Earthquakes	Real Salt Lake	3/27/2010	14		LGE	Espindola, Fabian	Findley, Robbie	
Espindola, Fabian	Real Salt Lake	San Jose Earthquakes	Real Salt Lake	3/27/2010	27		LGE	Morales, Javier		
Buddle, Edson	Los Angeles Galaxy	Los Angeles Galaxy	New England Revolution	3/27/2010	6		LGE	Donovan, Landon		
Davis, Brad	Houston Dynamo	Houston Dynamo	Real Salt Lake	4/1/2010	51	Penalty	LGE			
Davis, Brad	Houston Dynamo	Houston Dynamo	Real Salt Lake	4/1/2010	54	Penalty	LGE			
Morales, Javier	Real Salt Lake	Houston Dynamo	Real Salt Lake	4/1/2010	17		LGE	Saborio, Alvaro	Beckerman, Kyle	
King, Aaron	Tampa Bay Rowdies	Crystal Palace Baltimore	Tampa Bay Rowdies	4/16/2010	50		LGE			
Wasson, Daniel Eric	NSC Minnesota Stars	Carolina RailHawks	NSC Minnesota Stars	4/16/2010	0		LGE			
Delicate, Matthew (Deli)	Richmond Kickers	Richmond Kickers	Harrisburg City Islanders	4/17/2010	11		LGE	Burke, Michael		
Delicate, Matthew (Deli)	Richmond Kickers	Richmond Kickers	Harrisburg City Islanders	4/17/2010	76		LGE	Goerres, Sascha		
Williams, Sheanon	Harrisburg City Islanders	Richmond Kickers	Harrisburg City Islanders	4/17/2010	17		LGE			
Ombiji, Brian	Harrisburg City Islanders	Richmond Kickers	Harrisburg City Islanders	4/17/2010	40		LGE	Kasiguran, Kai		
