Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Liner, Tom	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Doyle, John	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Emenalo, Michael	0	0	90	Y	N	N	44		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Dayak, Troy	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Martin, Tim	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Iroha, Ben	0	0	89	N	N	N	0	Lewis, Eddie	0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Baicher, Jeff	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Bravo, Paul	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Mella, Victor	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Rodas, Jorge	0	0	79	N	N	N	0	Holocher, Paul	0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Wynalda, Eric	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Holocher, Paul	0	79	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	San Jose Clash	Lewis, Eddie	0	89	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Causey, Jeff	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Fazlagic, Said	0	0	90	Y	N	N	87		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Gori, Mario	0	0	90	Y	N	N	44		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Agoos, Jeff	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Lee, Thor	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Harkes, John	0	0	90	Y	N	N	72		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Etcheverry, Marco	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Medved, Shawn	0	0	71	N	N	N	0	Huwiler, Mike	0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Williams, Richie	0	0	87	N	N	N	0	Imler, Erik	0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Suarez, Juan Berthy	0	0	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Diaz Arce, Raul 	0	0	90	Y	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Huwiler, Mike	0	71	90	N	N	N	0		0	0	0	
LGE	4/6/1996	San Jose Clash	DC United	DC United	Imler, Erik	0	87	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Oshoniyi, Adegboyega	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Clark, Michael	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Bliss, Brian	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Watson, Mark	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Michallik, Janusz	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Thompson, Billy	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Paz, Adrian	0	0	78	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Battelle, Shane	0	0	84	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Khumalo, Doctor	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Marino, Pete	0	0	72	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	McBride, Brian	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Maisonneuve, Brian	0	72	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Cozier, Mac	0	78	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	Columbus Crew	Yeagley, Todd	0	84	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Causey, Jeff	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Imler, Erik	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Gori, Mario	0	0	66	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Agoos, Jeff	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Lee, Thor	0	0	46	Y	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Harkes, John	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Etcheverry, Marco	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Medved, Shawn	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Williams, Richie	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Huwiler, Mike	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Diaz Arce, Raul 	0	0	58	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Fazlagic, Said	0	46	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Marsch, Jesse	0	58	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Columbus Crew	DC United	DC United	Wescott, Sterling	0	66	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Harrington, Pat	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Reasoner, Tommy	0	0	83	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Bowers, Sean	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Ekeme, Samuel	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Okafor, Uche	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	McKeon, Matt	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Preki	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Chung, Mark	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Eichmann, Eric	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Takawira, Vitalis (Digital)	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Klopas, Frank	0	0	83	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Uderitz, Scott	0	83	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Kansas City Wiz	Gutierrez, Diego	0	83	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Hudock, Dusty	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Trittschuh, Steve	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Hamlett, Denis	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Butterworth, Ian	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Edwards, Troy	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Kmosko, Matt	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Kinnear, Dominic	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Henderson, Chris	0	0	77	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Bartlett, Shaun	0	0	90	Y	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Harbor, Jean	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Benedetti, Scott	0	0	77	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Sharpe, Richard	0	77	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Kansas City Wiz	Colorado Rapids	Colorado Rapids	Wegerle, Roy	0	77	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Los Angeles Galaxy	MetroStars	Los Angeles Galaxy	Campos, Jorge	0	0	90	N	N	N	0		0	0	0	
LGE	4/13/1996	Los Angeles Galaxy	MetroStars	Los Angeles Galaxy	Semioli, Mark	0	0	90	N	N	N	0		0	0	0	
