Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Heaney, Aidan	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Atta, Maher	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Rosario, Robert	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Thomas, Christopher	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Chan, Robin	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Radwanski, Eddie	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Breslin, Kieran	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Stockton, Khary	0	0	74	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Allnutt, Yari	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Sharpe, Richard	0	0	39	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	John, Stern	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Haupt, Jason	0	74	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Carolina Dynamo	Hamid, Ayman	0	39	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Allred, David	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Scott, Kevin	0	0	64	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Muldrow, Wendell	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Siegmund, Arnold	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Sanchez, Alex	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Pinon, Ed	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Murphy, Ron	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Powell, Darren	0	0	79	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Herrmann, Joe	0	0	79	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Hunter, Mike	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Siikala, Toni	0	0	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Campbell, Marlow	0	64	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Cagle, Daniel	0	79	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Carolina Dynamo	Raleigh Flyers	Raleigh Flyers	Duff, Chris	0	79	90	N	N	N	0		0	0	0	
LGE	4/12/1997	Jacksonville Cyclones	Toronto Lynx	Jacksonville Cyclones	Walker, Jonny	0	0	90	N	N	N	0		0	0	0	
