Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Dutra, Tom	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Benjamin, Glenn	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Brown, Christopher	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Cavitt, Brandon	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Blanchard, Richard (Ricky)	0	0	83	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Felician, Lester	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Gentile, Gabriel	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Owens, William (Billy)	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Villanueva, Mauricio	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Glasgow, Gary	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Hamid, Ayman	0	0	67	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	DePaco, Greg	0	67	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	New Orleans Storm	Rebuck, Danny	0	83	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Dedini, Randy	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Martinez, Vince	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Raines, CW	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Stoddard, Myles	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Smith, John	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Gunn, Jeremy	0	0	72	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Bankov, Kalin	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Klein, Stephen	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Quigley, Kevin	0	0	90	N	N	N	0		0	0	0	
LGE	4/2/1998	New Orleans Storm	Nashville Metros	Nashville Metros	Milojevich, Jovan	0	0	45	N	N	N	0		0	0	0	
