Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Rueda, Kevin	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Banks, David	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Brown, PJ	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Munro, Jamie	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	O'Brien, Leighton	0	0	90	Y	N	N	82		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Farias, Carlos	0	0	68	N	N	N	0	Alegre-Ramirez, Mauricio	0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Hetherington, Nate	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Jara, Guillermo	0	0	78	N	N	N	0	Phillips, Shandley	0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Legg, Kevin	0	0	90	Y	N	N	62		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Baena, Mark	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Dumitru, Mugurel	0	0	45	Y	N	N	17	Frye, Adam	0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Frye, Adam	0	45	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Alegre-Ramirez, Mauricio	0	68	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	San Diego Flash	Phillips, Shandley	0	78	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Nyman, Matt	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Bocanegra, Carlos	0	0	45	N	N	N	0	Cooks, Micah	0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Califf, Danny	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Eyre, Adam	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Figueroa, Vicente	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Sahaydak, Tim	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Gomez, Javier (Francisco)	0	0	90	Y	N	N	89		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Lavrinenko, Yuri	0	0	71	N	N	N	0	Lindenmayer, Christof	0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Rocha, Maurizio	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Beasley, Jamar	0	0	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Quijano, Marvin	0	0	79	N	N	N	0	Salas-Quinteros, Sergio	0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Cooks, Micah	0	45	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Lindenmayer, Christof	0	71	90	N	N	N	0		0	0	0	
LGE	4/8/2000	San Diego Flash	US Pro 40	US Pro 40	Salas-Quinteros, Sergio	0	79	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Littman, Michael	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Cooper, Adam	0	0	85	N	N	N	0	Thomas, Sheldon	0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Dancy, Jake	0	0	90	Y	N	N	17		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Theslof, Nick	0	0	90	Y	N	N	31		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Hesse, Ken	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Polowski, PJ	0	0	45	N	N	N	0	N'Doumbe, Michael	0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Temblador, Art	0	0	45	N	N	N	0	Leal-Gustavo, Oscar	0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Boyce, Jason	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Farace, Anthony	0	0	62	N	N	N	0	Elminoufi, Omar	0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Patterson, Steve	0	0	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Vasquez-Martinez, Jose	0	0	90	Y	N	N	81		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	N'Doumbe, Michael	0	45	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Leal-Gustavo, Oscar	0	45	90	Y	N	N	89		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Elminoufi, Omar	0	62	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	Orange County Waves	Thomas, Sheldon	0	85	90	N	N	N	0		0	0	0	
LGE	4/9/2000	Orange County Waves	US Pro 40	US Pro 40	Rimando, Nick	0	0	90	N	N	N	0		0	0	0	
