Comp	Date	Home Team	Away Team	Squad-Team	Player	Rating	Time On	Time Off	YC1	YC2	RC	YC Time	Substituted By	Time On+	Time Off+	YC Time+	
FDLY	2/15/1996	Cocoa Expos	Tusberg Landshut - Germany	Cocoa Expos	Enders, Eddie	0	0	90	N	N	N	0		0	0	0	
FDLY	2/18/1996	Shimizu S-Pulse - Japan	Minnesota Thunder	Minnesota Thunder	Lagos, Manny	0	0	90	N	N	N	0		0	0	0	
FDLY	2/19/1996	Cocoa Expos	Norresundby Boldklub - Denmark	Cocoa Expos	Haig, Fitzgerald	0	0	90	N	N	N	0		0	0	0	
FDLY	2/21/1996	Gamba Osaka - Japan	Minnesota Thunder	Minnesota Thunder	Lagos, Gerard	0	0	90	N	N	N	0		0	0	0	
FDLY	2/21/1996	Gamba Osaka - Japan	Minnesota Thunder	Minnesota Thunder	Magee, Amos	0	0	90	N	N	N	0		0	0	0	
FDLY	2/21/1996	Gamba Osaka - Japan	Minnesota Thunder	Minnesota Thunder	Sanneh, Tony	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Hahnemann, Marcus	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Barrts	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Bialek, Tom	0	0	49	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Crook, Billy	0	0	83	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Dunn, James	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Dunn, Jason	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Fry, Chance	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	James, Bernie	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	McCormick, Dick	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Megson, Neil	0	0	90	N	N	N	0		0	0	0	
FDLY	5/10/1996	Vissel Kobe - Japan	Seattle Sounders	Seattle Sounders	Morrill, Doug	0	0	90	N	N	N	0		0	0	0	
