team		year	wins	losses	ties	gf	ga
Albuquerque	AQGK	1998	5	22	1	39	100
Atlanta	ATLS	2002	13	13	2	47	45
Atlanta	ATLS	2003	4	17	7	27	48
Atlanta	ATLS	2004	14	11	3	41	38
Atlanta	ATLS	2001	13	12	1	48	39
Atlanta	ATLS	2000	11	14	3	51	42
Atlanta	ATLS	1999	14	12	2	51	61
Atlanta	ATLS	1998	7	20	1	31	67
Atlanta	ATLS	1997	9	15	4	39	48
Bay Area	SFBS	2000	12	13	3	42	53
Boston	BSBD	2000	9	16	3	32	41
Boston	BSBD	1999	12	10	6	49	36
Calgary	CLGS	2002	4	21	3	26	66
Calgary	TCAL	2003	4	21	3	16	62
Calgary	CALM	2004	4	18	6	30	51
California	CALJ	1998	6	21	1	32	95
California	CALJ	1997	17	10	1	48	34
Carolina	CARD	1997	16	8	4	63	33
Charleston	CHAB	2002	19	3	6	46	16
Charleston	CHAB	2003	15	6	7	41	27
Charleston	CHAB	2004	7	15	6	30	39
Charleston	CHAB	2001	16	9	1	51	34
Charleston	CHAB	2000	18	8	2	59	36
Charleston	CHAB	1999	12	11	5	43	39
Charleston	CHAB	1998	11	15	2	37	40
Charleston	CHAB	1997	10	13	5	39	50
Charlotte	CHAE	2002	10	14	4	46	46
Charlotte	CHAE	2003	6	15	7	29	59
Charlotte	CHAE	2001	14	10	2	50	41
Cincinnati	CINR	2002	8	20	0	35	68
Cincinnati	CINR	2003	9	19	0	38	62
Cincinnati	CINR	2001	6	20	0	39	80
Cincinnati	CINR	2000	2	23	3	25	80
Cincinnati	CINR	1999	5	18	5	45	71
Cincinnati	CINR	1998	11	17	0	48	65
Colorado	COLF	1997	15	10	3	55	49
Connecticut	CONW	2001	9	11	6	30	37
Connecticut	CONW	2000	1	19	8	22	57
Connecticut	CONW	1999	7	20	1	32	68
Connecticut	CONW	1998	2	8	18	32	57
Connecticut	CONW	1997	8	15	5	31	45
Edmonton	EDFC	2004	4	18	6	19	56
El Paso	ELPP	2002	10	11	7	38	48
El Paso	ELPP	2003	9	16	3	33	48
El Paso	ELPP	2001	8	14	4	39	42
El Paso	ELPP	2000	12	14	2	48	50
El Paso	ELPP	1999	12	14	2	49	59
El Paso	ELPP	1998	9	15	4	51	54
El Paso	ELPP	1997	5	17	6	30	50
Hampton Roads	VABM	2000	14	12	2	44	38
Hampton Roads	VABM	1999	10	11	7	45	41
Hampton Roads	VABM	1998	15	9	4	44	39
Hershey	HERW	2001	16	7	3	45	20
Hershey	HERW	2000	15	10	3	49	30
Hershey	HERW	1999	15	10	3	54	33
Hershey	HERW	1998	17	8	3	51	31
Hershey	HERW	1997	18	8	2	56	33
