team	season	competition	number	name	position	games_played	goals	assists	points	nationality
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	1	Keith Van Eron	G	23	 	 	 	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	2	Buzz Demling	D	23	11	5	16	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	4	John Smillie	F	20	14	17	31	Scotland
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	5	Gene Geimer	F	15	15	5	20	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	7	Tony Graham	F	20	18	10	28	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	8	Mark Poston	 	13	2	3	5	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	9	Ty Keough	D	23	13	11	24	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	10	Mario Oliva	 	18	7	11	18	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	12	Keith Tozer	 	23	4	3	7	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	13	Telmo Pires	F	10	0	3	3	Portugal/USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	14	John Zacheis	 	24	3	18	21	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	15	Krys Furman	F	22	10	8	18	Poland
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	17	Manny Cuenca	F	10	14	3	17	Spain
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	19	Dave D'Errico	D	20	4	9	13	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	20	Roy Messing	G	10	 	 	 	USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	22	Doc Lawson	D	17	9	5	14	Liberia/USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Gigi Garafano	 	1	0	0	 	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Rick Kessel	G	1	 	 	 	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	John Kowalski	 	2	1	0	1	Poland/USA
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Brian Robertson	 	1	0	0	0	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Sal Scalici	 	3	0	1	1	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Bob Speilmann	 	1	0	0	0	 
Cincinnati Kids	1978-1979	Major Indoor Soccer League (1978-1992)	 	Doug Wark	 	22	29	16	45	Scotland/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	1	Paul Dueker	G	1	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	2	Mike Barca	G	10	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	3	Alan Hamyln	D	23	6	5	11	England/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	4	Jose Perna	 	9	0	2	2	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	5	Tim Murphy	 	23	1	6	7	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	6	Rildo	D	16	2	0	2	Brazil
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	7	Mohammed Attiah	D	17	9	10	19	Ghana
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	8	Steve Norris	D	17	1	1	2	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	10	Roy Sinclair	 	24	10	14	24	England
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	11	Ceasar Cervin	F	19	8	10	18	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	12	Mark Yeeles	 	17	3	1	4	England
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	14	Brian Budd	F	19	24	5	29	Canada
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	15	Freddie Garcia	 	6	3	3	6	Mexico/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	16	Rich Brands	G	13	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	18	Gordon Fearnley	F	4	1	1	2	England/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	20	Everald Cummings	F	6	1	0	1	Trinidad
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	20	Bob Hritz	F	10	2	1	3	Germany/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	25	Tony Douglas	 	4	0	1	1	Trinidad
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Randy Garber	 	1	0	0	0	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Jim May	G	12	 	 	 	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Gene Mishalow	 	3	0	0	0	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Les Peterson	 	23	3	9	12	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Oscar Pisano	D	16	2	2	4	Argentina
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	John Nelson	 	12	3	4	7	 
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Roman Urbanczuk	 	2	0	0	0	Poland/USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Steve Newman	 	7	0	0	0	USA
Cleveland Force	1978-1979	Major Indoor Soccer League (1978-1992)	 	Blaz Stimac	 	17	8	6	14	
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	0	Cliff Brown	G	28	 	 	 	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	1	Gary Allison	G	25	 	 	 	Germany/USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	2	Brooks Cryder	D	 	 	 	 	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	3	Les Peterson	D	25	2	1	3	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	4	Ray Schnettgoecke	D	29	4	5	9	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	5	Mike England	D	11	0	1	1	Wales
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	6	Oscar Pisano	D	 	 	 	 	Argentina
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	7	Peter Notaro	M	8	4	1	5	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	8	Alan Hudson	M	13	6	13	19	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	9	Ron Wigg	M	10	5	3	8	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	10	Roy Sinclair	 	28	8	11	19	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	11	Poli Garcia	F	29	21	15	36	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	12	Clyde Best	F	30	33	16	49	Bermuda
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	13	Pat Fidelia	F	29	10	9	19	Haiti/USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	14	Scott Jones	 	 	 	 	 	 
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	13,15	Mohammed Attiah	D	16	3	2	5	Ghana
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	16	Chris Bennett	 	25	6	6	12	England/Canada
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	17	Bruce Miller	D	9	5	4	9	Canada
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	18	Dave Grimaldi	D	30	1	5	6	USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	19	Jim McDonald	 	3	0	0	0	Scotland/England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	20	Carlos Devenutto	D	1	0	1	1	Argentina
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	22	Kevin Terry	 	17	1	0	1	England/USA
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	23	Ruben Astigarraga	F	14	16	12	28	Argentina
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Mike Barry	D	18	12	8	20	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	John Brooks	F	9	1	0	1	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Gary Evans	 	8	0	2	2	England
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Ben Popoola	F	8	5	4	9	Nigeria
Cleveland Force	1979-1980	Major Indoor Soccer League (1978-1992)	 	Derek Scott	 	15	2	0	2	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	0	Cliff Brown	G	33	 	 	 	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	1	Marine Cano	G	18	 	 	 	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	2	John O'Hara	D	37	1	16	17	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	3	Wayne Jentas	D	38	4	7	11	Canada
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	4	Ian Anderson	D	37	30	31	61	Scotland
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	5	Walter Schlothauer	F	28	6	6	12	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	6	Trevor Dawkins	D	40	4	5	9	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	7	Ivair Ferreira	F	29	16	4	20	Brazil
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	9	Mike Barry	D	32	19	19	38	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	13	Mohammed Attiah	D	4	2	1	3	Ghana
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	14	Prosper Cohen	 	30	16	9	25	Morocco/Israel
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	15	Graham Fyfe	F	33	38	20	58	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	17	George Dewsnip	F	33	14	17	31	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	18	Dave Grimaldi	D	37	3	3	6	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	20	Simon Look	 	21	26	6	32	Israel
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	22	Kevin Terry	 	35	2	1	3	England/USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	23	Ruben Astigarraga	F	22	18	25	43	Argentina
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	30	John Houska	G	 	 	 	 	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Tony Graham	F	19	1	0	1	USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Michel Lacevic	M	28	3	4	7	Yugoslavia/USA
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Roy Sinclair	 	10	4	4	8	England
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	John Victor	D	21	2	4	6	Brazil
Cleveland Force	1980-1981	Major Indoor Soccer League (1978-1992)	 	Dieter Wimmer	 	7	0	0	0	South  Africa/Austria
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	0	Slavko Njegus	G	6	 	 	 	Yugoslavia
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	1	John Houska	G	 	 	 	 	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	3	Danilo Mandic	D	 	 	 	 	Yugoslavia
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	4,10	Ian Anderson	D	11	4	5	9	Scotland
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	5	Tom Condric	 	38	3	7	10	Yugoslavia/USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	6	Trevor Dawkins	D	40	2	7	9	USA
Cleveland Force	1981-1982	Major Indoor Soccer League (1978-1992)	7	Jimmy Husband	 	33	9	6	15	England
