Archie Stark	Kearny Irish	American Soccer League (1934-1983)	1933-1934		22	
Razzo Carroll	Kearny Scots	American Soccer League (1934-1983)	1933-1934		22	
Millard Lang	Baltimore Canton	American Soccer League (1934-1983)	1934-1935	19	14	
Henry Carroll	Brookhattan	American Soccer League (1934-1983)	1934-1935	19	13	
Alex Rae	Newark Germans	American Soccer League (1934-1983)	1934-1935	19	16	
William Schwanke	Baltimore Canton	American Soccer League (1934-1983)	1934-1935	16	12	
Robert Deal	Philadelphia Germans	American Soccer League (1934-1983)	1934-1935	13	11	
Fabri Salcedo	Brooklyn Hispano	American Soccer League (1934-1983)	1934-1935	20	11	
Siegfried Wortmann	Brookhattan	American Soccer League (1934-1983)	1934-1935	18	10	
John McEwan	Brooklyn Celtic	American Soccer League (1934-1983)	1934-1935	11	9	
Mack	Baltimore Canton	American Soccer League (1934-1983)	1934-1935	19	8	
Harry Collins	New York Americans	American Soccer League (1934-1983)	1934-1935	19	8	
Lauder	Kearny Irish	American Soccer League (1934-1983)	1934-1935	19	8	
George Michaels	New York Americans	American Soccer League (1934-1983)	1934-1935	13	8	
Alex Rae	Newark Germans	American Soccer League (1934-1983)	1935-1936		28	
Charlie Ernst	Baltimore S.C.	American Soccer League (1934-1983)	1936-1937		25	
Fabri Salcedo	Brooklyn Hispano	American Soccer League (1934-1983)	1937-1938		17	
Bert Patenaude	Philadelphia Passon	American Soccer League (1934-1983)	1938-1939		24	
Charlie Ernst	Baltimore S.C.	American Soccer League (1934-1983)	1939-1940		24	
Fabri Salcedo	Brooklyn Hispano	American Soccer League (1934-1983)	1940-1941		17	
Duke Nanoski	St. Mary's Celtic	American Soccer League (1934-1983)	1941-1942	19	20	8
Billy Gonsalves	Kearny Scots	American Soccer League (1934-1983)	1941-1942	19	16	8
Al Jennette	Brookhattan	American Soccer League (1934-1983)	1941-1942	19	13	7
Charley Ernst	Baltimore S.C.	American Soccer League (1934-1983)	1941-1942	19	13	10
Chappie Sheppell	Kearny Irish	American Soccer League (1934-1983)	1941-1942	17	12	11
Clark	Kearny Irish	American Soccer League (1934-1983)	1941-1942	18	12	4
Fisher	Kearny Scots	American Soccer League (1934-1983)	1941-1942	19	12	6
Chappie Sheppell	Kearny Irish	American Soccer League (1934-1983)	1942-1943	15	12	14
Fabri Salcedo	Brooklyn Hispano	American Soccer League (1934-1983)	1942-1943	18	10	6
Duke Nanoski	Philadelphia Americans	American Soccer League (1934-1983)	1942-1943	15	10	7
Al Jennette	Brookhattan	American Soccer League (1934-1983)	1942-1943	17	10	6
Enrique Quinones	Brooklyn Hispano	American Soccer League (1934-1983)	1942-1943	16	9	9
Rudy Kuntner	Brookhattan	American Soccer League (1934-1983)	1942-1943	17	9	5
Joe Boyle	Brookhattan	American Soccer League (1934-1983)	1942-1943	15	8	6
Billy Gonsalves	Brooklyn Hispano	American Soccer League (1934-1983)	1942-1943	16	8	4
