team	year	number	name	position	games_played	points	minutes	goals	assists	shots	fouls
Michigan Bucks	2008	1	Mollon, Bret	GK	2		180				1
Michigan Bucks	2008	2	Stacy, Jake		2	2	104	1		1	
Michigan Bucks	2008	3	Holody, Michael (Mike)	D	12	2	1065	1		11	6
Michigan Bucks	2008	4	Russell, Kyle	D	15		1335			2	16
Michigan Bucks	2008	6	St. Louis, Stefan	F	6	1	174		1	6	6
Michigan Bucks	2008	7	Shipalane, Tiyiselani (Ty)	M	13	13	848	5	3	16	5
Michigan Bucks	2008	8	Jafta, Nathaniel (Nate)	M	11	17	791	4	9	17	4
Michigan Bucks	2008	9	Fuzetti, Mauro	M	8	2	414	1		11	5
Michigan Bucks	2008	10	Uzoigwe, Kenny	F	14	23	1193	10	3	39	16
Michigan Bucks	2008	11	Bega, Besmir (Bes)	M	10	6	457	2	2	12	9
Michigan Bucks	2008	13	Scaffidi, Zachary (Zac)	M	15	1	1021		1	7	17
Michigan Bucks	2008	14	Morisset, Alexandre (Alex)	M	12	3	679	1	1	3	7
Michigan Bucks	2008	15	Hertel, David (Dave)	D/M	13	5	1127	2	1	9	10
Michigan Bucks	2008	16	Djokic, Nik	F	8	1	385		1	1	2
Michigan Bucks	2008	17	Nowak, Piotr (Pete)	M	15	11	1131	4	3	18	16
Michigan Bucks	2008	18	DeMartin, Douglas (Doug)	F	15	16	880	7	2	24	11
Michigan Bucks	2008	20	Brent, Adam	D	4		185				1
Michigan Bucks	2008	22	Daniel, Ian	D	14		1179			2	3
Michigan Bucks	2008	23	Weaver, William (Billy)	M	6	5	342	2	1	9	7
Michigan Bucks	2008	24	Iyoha, Nosa	D/M	3		103				
Michigan Bucks	2008	25	Clark, Steven (Steve)	GK	15		1350				
Michigan Bucks	2008		Norman, Luke	M	1		19				1
Michigan Bucks	2008		Thompson, Spencer	M	2	1	26		1		
Cleveland Internationals	2008	25	Alexander, Christopher (Todd)	D	15		1084			2	7
Cleveland Internationals	2008	8	Bartulovic, Danny	M	14	4	767	1	2	23	15
Cleveland Internationals	2008	6	Boyer, Mitchell (Mitch)	D	9		764			1	8
Cleveland Internationals	2008	19	Brickman, Jonathan (Jon)	D	15		1019			4	8
Cleveland Internationals	2008	1	Demarchi, Matthew	GK	9		810				
Cleveland Internationals	2008	0	Harpel, Nicolas (Nick)	GK	1		90				
Cleveland Internationals	2008	7	Korb, Christopher (Chris)	D	4		404			2	4
Cleveland Internationals	2008	4	Marsh, Geoffrey (Geoff)	M	14	2	1112	1		6	8
Cleveland Internationals	2008	23	Mason, Matthew	M			90			2	1
Cleveland Internationals	2008	21	McCoy, Shakir N	M	10	3	489	1	1	8	3
Cleveland Internationals	2008	15	McKinney, Judson	D	10		725			5	4
Cleveland Internationals	2008	20	Morrow, Justin	M	14	22	1166	11		33	15
Cleveland Internationals	2008	3	Nagbe, Darlington J.		1		90				
Cleveland Internationals	2008	14	Nanchoff, Michael (Mike)	M	15	17	1279	6	5	31	30
Cleveland Internationals	2008	9	Pitorak, Kevin J	D	9		237			1	1
Cleveland Internationals	2008	22	Souza, Felipe	M	1	2	10	1		1	
Cleveland Internationals	2008	2	Speas, Ben	M							
Cleveland Internationals	2008	24	Thompson, Nick	M	6		336			4	2
Cleveland Internationals	2008		Tipton, Andrew								
Cleveland Internationals	2008	16	Tutich, Matthew (Matt)	M	14	18	1011	5	8	28	14
Cleveland Internationals	2008	10	Ubiparapovic, Slavisa	F	2		84				2
Cleveland Internationals	2008	0	Whitehead, Jason W	GK	6		496				
Cleveland Internationals	2008	18	Williams, Josh J	D	13	2	1107	1		4	7
Cleveland Internationals	2008	11	Zakuani, Steve	F	11	22	893	9	4	27	9
Cleveland Internationals	2008	13	Zemanski, Ben	M	15	14	1255	5	4	22	23
Toronto Lynx	2008	6	Alksnis, Cameron	D	6	1	338		1		3
Toronto Lynx	2008	18	Bahadur, Anthony	F	11	2	303	1		8	12
Toronto Lynx	2008	1	Binstock, Nils	GK	15		1313				
Toronto Lynx	2008	12	De Luca, Sergio		2		78				3
Toronto Lynx	2008	7	DeAbreu, Christopher	M	16	9	1367	4	1	29	18
Toronto Lynx	2008		DiBiase, Anthony								
Toronto Lynx	2008	2	DiLorenzo, Erik		13	2	1164	1		6	10
Toronto Lynx	2008	17	El-Masri, Sherif	F	5		128			3	3
Toronto Lynx	2008	17	Gomes, Elder	M	3		169			1	2
Toronto Lynx	2008	3	Grist, Lloyd	D	16	6	1440	1	4	7	8
Toronto Lynx	2008		Hay, Justin	M							
Toronto Lynx	2008	25	Heembrock, Brandon		3		172				
Toronto Lynx	2008	6	Jonke, John		10		886			2	7
Toronto Lynx	2008	19	Lecky, Kadian	F	2	2	85	1		7	3
Toronto Lynx	2008	14	McBride, Chris	F	9	2	151	1		3	6
Toronto Lynx	2008	13	McNamara, Mikael		16		1260			6	9
Toronto Lynx	2008	15	Medwin, Cameron		7	1	399		1	3	3
Toronto Lynx	2008	22	Mitchell, Chris	M	8	2	218	1		1	5
Toronto Lynx	2008	21	Omokhua, Kevin		5	2	376	1		12	6
Toronto Lynx	2008	20	Oppong, Dominic		2		49			2	
Toronto Lynx	2008	8	Petrasso, Vince	M/F	8	7	647	3	1	11	6
Toronto Lynx	2008	9	Revivo, Daniel		15	21	1171	9	3	32	15
Toronto Lynx	2008	10	Rios, Derek		13		980			16	8
Toronto Lynx	2008	21	Risto, Lukas	M	1		3				
Toronto Lynx	2008	23	Scott, Damion	M	16	3	1045	1	1	21	15
Toronto Lynx	2008	24	Smith, Matthew	GK	7		316				1
Toronto Lynx	2008	16	Soutar, Stephen	D/M	10		404				4
Toronto Lynx	2008	12	Stephens, Joshua (Josh)	M	6		130			3	3
