team	year	number	position	name	games_played	points	minutes	goals	assists	shots	fouls
Chicago Fire Premier	2012	51	D	Albert, Keaton	4		287			1	4
Chicago Fire Premier	2012	40	D	Albrecht, Mitch	8		516	0	0	0	6
Chicago Fire Premier	2012	66	M	Barajas, Luis	6		478			5	4
Chicago Fire Premier	2012	48	D	Beasley, Peter	11		920	0	0	2	1
Chicago Fire Premier	2012	85	M	Blades, Mark	1		90				
Chicago Fire Premier	2012	32	D	Boxall, Niko	3		270				5
Chicago Fire Premier	2012	38	M	Brindle, Jacob	2		54	0	0	1	0
Chicago Fire Premier	2012	69	F	Calistri, Joey	2	1	90		1	1	1
Chicago Fire Premier	2012	49	M	Ciesiulka, Bryan	12	4	993	1	2	23	2
Chicago Fire Premier	2012	39	D	Cochrane, Alec	4		290				1
Chicago Fire Premier	2012	54	M	Conner, Andrew	4		206				3
Chicago Fire Premier	2012	47	M	Doody, Patrick	5		304	0	0	4	2
Chicago Fire Premier	2012	34	M	Engel, Tyler	10	10	750	4	2	16	3
Chicago Fire Premier	2012	50	GK	Euler, Sam	5		405	0	0	0	0
Chicago Fire Premier	2012	32	D	Figura, Dan	1		90				
Chicago Fire Premier	2012	44	M	Garza, Arturo	4		268			2	2
Chicago Fire Premier	2012	13	GK	Godsey, Jordan	5		405	0	0	0	0
Chicago Fire Premier	2012	38	D	Gooden, Jourdan	2	2	27	1			
Chicago Fire Premier	2012	49	F	Gutierrez, Marco	10	2	124	1	0	1	2
Chicago Fire Premier	2012	40	F	Kanneh, Isaac	4	4	237	1	2	4	2
Chicago Fire Premier	2012	69	M	Keller, Daniel	8		541	0	0	6	3
Chicago Fire Premier	2012	40	M	King, Brendan	2	1	176	0	1	2	3
Chicago Fire Premier	2012	71	M	Mares, Dylan	3		133	0	0	1	1
Chicago Fire Premier	2012	3	M	Masri, Layth	1		3	0	0	0	0
Chicago Fire Premier	2012	51	D	McGuinness, Billy	4		194	0	0	0	1
Chicago Fire Premier	2012	91	M	Medina, Jesus	1		45				
Chicago Fire Premier	2012	46	M	Medina, Luis	4		210	0	0	0	0
Chicago Fire Premier	2012	28	GK	Meves, David	6		540	0	0	0	0
Chicago Fire Premier	2012	62	F	Morgan, Taylor	6	6	512	3	0	11	8
Chicago Fire Premier	2012	66	F	Oliver, Andrew	4	2	326	1		6	1
Chicago Fire Premier	2012	45	D	Petts, Harrison	2	2	172	1	0	4	1
Chicago Fire Premier	2012	51	D	Pothast, Eric	9	2	580	1	0	1	5
Chicago Fire Premier	2012	71	F	Prince, Christopher	5	3	339	1	1	6	3
Chicago Fire Premier	2012	54	M	Ritter, Chris	1		90			2	2
Chicago Fire Premier	2012	66	M	Salmeron, Joel	2		104			2	
Chicago Fire Premier	2012	59	M	Shipp, Harrison	7	4	507	2	0	7	3
Chicago Fire Premier	2012	38	M	Skelly, Tom	7	2	452	1	0	7	14
Chicago Fire Premier	2012	68	D	Tiemstra, David	11		700	0	0	4	8
Chicago Fire Premier	2012	54	F	Torres, Javier	10	4	484	1	2	15	3
Chicago Fire Premier	2012	68	D	Totsch, Sean	7		301	0	0	5	3
Chicago Fire Premier	2012	56	M	Wahl, Brady	11	2	914	1	0	7	18
Chicago Fire Premier	2012	32	M	Weberman, Eric	2		71	0	0	3	0
Chicago Fire Premier	2012	62	D	Wheeler, Trevor	9	1	599	0	1	2	2
Chicago Inferno	2012	7	M	Alvarez, Noel	11	2	880	1	0	22	15
Chicago Inferno	2012	13	M	Clark, Joshua	3		270	0	0	3	6
Chicago Inferno	2012	6	M	Del Toro, Carlos	5	1	377		1	1	6
Chicago Inferno	2012	22	M	Escobedo, Angel	5		55	0	0	0	4
Chicago Inferno	2012	18	M	Floros, Dimitrios	6	1	120	0	1	1	0
Chicago Inferno	2012	23	M	Glidden, Marc	6		300	0	0	2	5
Chicago Inferno	2012	3	F	Gurson, Gordon	15	4	854	2	0	32	4
Chicago Inferno	2012	27	D	Hurwitz, Robert	1		18				
Chicago Inferno	2012	9	D	Knezevic, Vladimir	7		630	0	0	2	9
Chicago Inferno	2012	5	D	Kowal, Michael	6		540				
Chicago Inferno	2012	16	M	Le Seth, Jayson	9	3	761	0	3	5	6
Chicago Inferno	2012	21	D	Letourneau-Mathieu, Francis	14	5	1070	2	1	5	14
Chicago Inferno	2012	8	M	Lopez, Alberto	14	4	852	1	2	20	8
Chicago Inferno	2012	2	D	Mau, John	14	2	1233	0	2	2	7
Chicago Inferno	2012	1	GK	McKeown, Peter	7		630	0	0	0	4
Chicago Inferno	2012	24	D	Munoz, Alex	5		355	0	0	1	6
Chicago Inferno	2012	25	GK	Osborne, Troy	8		720	0	0	0	0
Chicago Inferno	2012	12	F	Oswald, Louie	8	1	301	0	1	4	11
Chicago Inferno	2012	11	F	Piotrowski, Jakub	6	5	451	2	1	17	7
Chicago Inferno	2012	14	D	Poland, Matthew	7		554	0	0	3	0
Chicago Inferno	2012	17	M	Reed, James	4		120	0	0	0	3
Chicago Inferno	2012	19	F	Rigg, Robert	7	2	306	1	0	2	2
Chicago Inferno	2012	10	M	Rolon-Merette, Damiem	15	7	1233	3	1	13	23
Chicago Inferno	2012	15	D	Son, Jonghyun	12		966	0	0	4	13
Chicago Inferno	2012	20	M	Zrnic, Emir	15	14	1236	7	0	30	11
Cincinnati Kings	2012	46	D	Bartlett, Michael	12		1007			1	1
Cincinnati Kings	2012	41	F	Block, Ian	8	4	276	2	0	3	1
Cincinnati Kings	2012	4	M	Clark, Cody	7		498			1	6
