        name	team	position	games_played	minutes	goals	assists	shots	fouls_committed	year
Barone, Giuseppe	Kalamazoo Kingdom	F	4	143		1	5	6	2003
Challinor, Jon	Kalamazoo Kingdom	D	17	1526	2		19	35	2003
Duhl, Scott	Kalamazoo Kingdom	M	14	1136	1	3	17	9	2003
Dwaihy, David	Kalamazoo Kingdom	M	16	1050	3	1	14	3	2003
Foster, Brendon	Kalamazoo Kingdom		3	60			0	3	2003
Goss, Chris	Kalamazoo Kingdom						0	0	2003
Keenan, Chris	Kalamazoo Kingdom	M	2	41			1	1	2003
Kellogg, Matt	Kalamazoo Kingdom		4	196			1	3	2003
Kelto, Anders	Kalamazoo Kingdom	M	14	1035	2	4	10	10	2003
Kemple, Andrew	Kalamazoo Kingdom	D	18	1661			4	33	2003
Kreh, Layne	Kalamazoo Kingdom	D	16	1172	1	1	8	32	2003
Lukungu, Ali	Kalamazoo Kingdom	F	13	1166	5	1	26	23	2003
Luya, Ian	Kalamazoo Kingdom	M	18	1661	3	3	21	5	2003
Mead, Brandon	Kalamazoo Kingdom		1	72			0	2	2003
Miller, Trent	Kalamazoo Kingdom	D	15	1117	1	1	1	20	2003
Murphy, Brendan	Kalamazoo Kingdom	GK	15	1391			0	1	2003
Nelson, Nicholas	Kalamazoo Kingdom	F	14	594	3	1	15	12	2003
Ombiji, Brian	Kalamazoo Kingdom	F	11	1028	6	2	21	37	2003
Peaslee, Trevor	Kalamazoo Kingdom	D	8	463			0	3	2003
Schuring, Joseph	Kalamazoo Kingdom	D	8	176		1	2	2	2003
Sokolowski, Bradley	Kalamazoo Kingdom		9	693	4		15	9	2003
Teixeira, Giuliano	Kalamazoo Kingdom	M	14	902	1	2	13	19	2003
Vandevusse, Craig	Kalamazoo Kingdom	M	10	329			2	5	2003
Walton, Stephen	Kalamazoo Kingdom	M	12	615		1	2	18	2003
Whitehouse, Carl	Kalamazoo Kingdom	GK	0						2003
Ananda, Vairaji	West Michigan Edge	M/F	6	482			4	18	2003
Benjamin, St. Nicholas	West Michigan Edge	D	17	1462	3	3	12	29	2003
Blythe, Michael	West Michigan Edge		15	1322	2	3	23	22	2003
Bruemmer, Alex	West Michigan Edge		5	229		1	2	2	2003
Bryant, Brady	West Michigan Edge		11	1023		1	5	21	2003
Chirico, Jordon	West Michigan Edge		2	128			1	3	2003
Connor, Matthew	West Michigan Edge						0	0	2003
Croucher-Dugan, Kevney	West Michigan Edge		5	406			0	5	2003
Elmore, Jesse	West Michigan Edge	M	14	1297	3	1	24	18	2003
Ferguson, James	West Michigan Edge	D	5	471	1		3	8	2003
Flynn, Daniel	West Michigan Edge		5	192			0	4	2003
Hall, Kevin	West Michigan Edge		10	691			0	11	2003
Hayden, John	West Michigan Edge		9	459	1	1	9	3	2003
Herdsman, Stephen	West Michigan Edge		3	249			0	1	2003
Howard, Todd	West Michigan Edge		7	426			0	7	2003
Kuklenski, Nicholas	West Michigan Edge		9	659			1	7	2003
Leonard, Jonathan	West Michigan Edge	F	17	1523	9	1	22	32	2003
Lepper, Steve	West Michigan Edge		17	1467	1		4	9	2003
Linpow, Steve	West Michigan Edge		2	113			0	1	2003
Ross, Jason	West Michigan Edge		10	405			2	4	2003
Sanders, Oliver	West Michigan Edge	GK	16	1523			0	0	2003
Schnerpenisse, Nathan	West Michigan Edge		2	180			0	0	2003
Tudela, Joshua	West Michigan Edge		4	378			3	1	2003
Wagner, Daniel	West Michigan Edge		11	739			8	13	2003
Wagner, Ryan	West Michigan Edge		5	223			0	6	2003
Woodward, Oliver	West Michigan Edge		12	920		1	3	2	2003
Yadon, Scott	West Michigan Edge		11	376	1		2	1	2003
Alexander, Ryan	Michigan Bucks	M/F	6	303		1	17	3	2003
Cameron, Knox (Washington)	Michigan Bucks	M/F	13	882	6	2	31	15	2003
Craft, Nate	Michigan Bucks	M	15	927		1	5	12	2003
David, Stephan	Michigan Bucks	M	18	1398	2	4	21	8	2003
DeGraw, Nicholas	Michigan Bucks	D/M	6	332			0	4	2003
Detter, Justin	Michigan Bucks	M					0	0	2003
Dzubay, Peter	Michigan Bucks	GK	8	736			0	0	2003
Ferrin, Dan	Michigan Bucks	GK	3	225	1		1	1	2003
Geiger, Abraham	Michigan Bucks	D	6	514			2	5	2003
Gruber, Jordan	Michigan Bucks	M	10	326		1	5	2	2003
Heinemann, Adam	Michigan Bucks	M	14	1015		1	4	18	2003
Ikome, Francis	Michigan Bucks	D/M	4	121			1	3	2003
Kalso, Kellen	Michigan Bucks	D					0	0	2003
Khumalo, Thabiso	Michigan Bucks	M/F	2	42			3	3	2003
Kithas, George	Michigan Bucks	F	10	421		1	11	7	2003
Minagawa-Webster, John	Michigan Bucks	M	13	935	2	3	26	9	2003
Nelson, Erik	Michigan Bucks	M	18	1363		5	20	17	2003
Norman, Nathan	Michigan Bucks	M/F	10	706	1	2	7	10	2003
Omekanda, Simon	Michigan Bucks	F	15	905	6	1	30	6	2003
Perry, Jason	Michigan Bucks	D/M	15	1184			0	7	2003
Rice, Douglas	Michigan Bucks	M					0	0	2003
Rzepka, Ryan	Michigan Bucks	D/M	13	1077	2		14	5	2003
Scicluna, Valentino	Michigan Bucks	D/M	7	481		1	7	8	2003
